date,Campsite,1,2,3,4,5,6,2P
5/3/2015,gate6,,,,,,,4
5/3/2015,gate7,,,,,,,4
5/3/2015,gate8,,,,,,,6
5/3/2015,general-gate1,8,5,4,2,,,2
5/3/2015,general-gate2,8,5,4,2,,,
5/3/2015,general-gate3,1,,,,,,1
5/3/2015,general-gate4,8,3,4,1,,,2
5/3/2015,general-gate5,5,2,3,1,,,3
5/3/2015,general-gate6,,,1,,,,
5/3/2015,general-gate7,12,6,5,1,2,,2
5/3/2015,ranger-base,,,,,,,6
5/3/2015,ranger-stop0,8,5,4,2,,,2
5/3/2015,ranger-stop2,8,5,4,2,,,2
5/3/2015,ranger-stop3,,,,,,,4
5/3/2015,ranger-stop4,,,,,,,2
5/3/2015,ranger-stop5,,,,,,,2
5/3/2015,ranger-stop6,,,,,,,6
5/3/2015,ranger-stop7,,,,,,,4
5/4/2015,camping0,1,1,2,,,,
5/4/2015,camping1,2,,,,,,
5/4/2015,camping2,,1,,,,,
5/4/2015,camping3,2,2,2,,,,
5/4/2015,camping5,1,,,,,,
5/4/2015,camping6,1,,,,,,
5/4/2015,camping7,,,1,,,,
5/4/2015,camping8,1,1,1,,,,2
5/4/2015,entrance0,9,1,1,1,,1,
5/4/2015,entrance1,5,3,2,2,,1,
5/4/2015,entrance2,2,3,1,2,2,2,
5/4/2015,entrance3,7,3,2,,1,,
5/4/2015,entrance4,1,2,2,3,1,,
5/4/2015,gate2,,,,,,,2
5/4/2015,gate3,,,,,,,8
5/4/2015,gate4,,,,,,,4
5/4/2015,gate5,,,,,,,8
5/4/2015,gate6,,,,,,,6
5/4/2015,gate7,,,,,,,6
5/4/2015,gate8,,,,,,,8
5/4/2015,general-gate0,2,,,,,,
5/4/2015,general-gate1,7,6,5,3,1,2,2
5/4/2015,general-gate2,7,6,5,3,1,2,2
5/4/2015,general-gate3,,,,,,,2
5/4/2015,general-gate4,6,4,5,2,,1,2
5/4/2015,general-gate5,2,2,3,2,,,8
5/4/2015,general-gate6,,,1,,,,
5/4/2015,general-gate7,9,5,6,2,,1,3
5/4/2015,ranger-base,,,,,,,8
5/4/2015,ranger-stop0,7,6,5,3,1,2,3
5/4/2015,ranger-stop1,,,,,,,2
5/4/2015,ranger-stop2,7,6,5,3,1,2,3
5/4/2015,ranger-stop3,,,,,,,8
5/4/2015,ranger-stop4,,,,,,,2
5/4/2015,ranger-stop5,,,,,,,4
5/4/2015,ranger-stop6,,,,,,,9
5/4/2015,ranger-stop7,,,,,,,6
5/5/2015,camping0,3,,,,,,
5/5/2015,camping2,2,1,1,,,,
5/5/2015,camping4,2,,,,,,
5/5/2015,camping5,1,1,1,,,,
5/5/2015,camping6,4,,,,,,
5/5/2015,camping7,,1,,,,,
5/5/2015,camping8,1,,,,,,2
5/5/2015,entrance0,3,8,1,1,,,
5/5/2015,entrance1,3,3,1,1,,,
5/5/2015,entrance2,5,3,1,,,,
5/5/2015,entrance3,4,7,3,3,,,
5/5/2015,entrance4,10,2,2,1,,,
5/5/2015,gate3,,,,2,,,4
5/5/2015,gate4,,,,,,,4
5/5/2015,gate5,,,,2,,,4
5/5/2015,gate6,,,,2,,,
5/5/2015,gate8,,,,,,,6
5/5/2015,general-gate1,8,4,3,1,,,
5/5/2015,general-gate2,8,4,3,1,,,2
5/5/2015,general-gate3,,,,,,,2
5/5/2015,general-gate4,8,3,2,,,,
5/5/2015,general-gate5,7,2,2,3,,,4
5/5/2015,general-gate6,,1,,,,,
5/5/2015,general-gate7,11,5,3,1,,,
5/5/2015,ranger-base,,,,,,,6
5/5/2015,ranger-stop0,8,4,3,1,,,2
5/5/2015,ranger-stop2,8,4,3,1,,,
5/5/2015,ranger-stop3,,,,2,,,4
5/5/2015,ranger-stop5,,,,,,,4
5/5/2015,ranger-stop6,,,,2,,,4
5/6/2015,camping0,1,,1,,,,
5/6/2015,camping1,,,2,,,,
5/6/2015,camping2,,1,,,,,
5/6/2015,camping3,4,2,,,,,
5/6/2015,camping5,6,,,,,,
5/6/2015,camping6,2,2,2,,,,
5/6/2015,camping7,1,1,,,,,
5/6/2015,camping8,2,1,,,,,1
5/6/2015,entrance0,2,8,3,1,,1,
5/6/2015,entrance1,8,5,2,3,1,,
5/6/2015,entrance2,9,4,1,1,1,,
5/6/2015,entrance3,7,4,3,3,1,1,
5/6/2015,entrance4,4,4,2,,1,,
5/6/2015,gate2,,,,,,,2
5/6/2015,gate3,,,,,,,2
5/6/2015,gate4,,,,,,,2
5/6/2015,gate5,,,,,,,4
5/6/2015,gate6,,,,,,,2
5/6/2015,gate7,,,,,,,2
5/6/2015,gate8,,,,,,,4
5/6/2015,general-gate0,,,2,,,,
5/6/2015,general-gate1,14,8,3,1,2,,
5/6/2015,general-gate2,14,8,3,1,2,,
5/6/2015,general-gate3,,1,,,,,1
5/6/2015,general-gate4,7,8,2,1,1,,
5/6/2015,general-gate5,5,6,1,,1,,1
5/6/2015,general-gate6,1,1,,,,,
5/6/2015,general-gate7,11,8,3,3,1,,3
5/6/2015,ranger-base,,,,,,,4
5/6/2015,ranger-stop0,14,8,3,1,2,,
5/6/2015,ranger-stop1,,,,,,,2
5/6/2015,ranger-stop2,14,8,3,1,2,,
5/6/2015,ranger-stop3,,,,,,,2
5/6/2015,ranger-stop4,,,,,,,2
5/6/2015,ranger-stop5,,,,,,,2
5/6/2015,ranger-stop6,,,,,,,4
5/6/2015,ranger-stop7,,,,,,,2
5/7/2015,camping2,2,1,,,,,
5/7/2015,camping3,1,4,,,,,
5/7/2015,camping4,,1,2,,,,
5/7/2015,camping5,2,,1,,,,
5/7/2015,camping6,2,,1,,,,
5/7/2015,camping7,1,,,,,,
5/7/2015,camping8,2,,1,,,,
5/7/2015,entrance0,6,3,2,5,,1,
5/7/2015,entrance1,4,4,,2,,1,
5/7/2015,entrance2,7,4,2,2,,1,
5/7/2015,entrance3,1,5,2,4,,1,
5/7/2015,entrance4,6,2,1,1,,,
5/7/2015,gate2,,,,,,,2
5/7/2015,gate3,,,,,,,2
5/7/2015,gate5,,,,,,,1
5/7/2015,gate6,,,,,,,1
5/7/2015,gate8,,,,,,,2
5/7/2015,general-gate1,6,6,1,3,,1,1
5/7/2015,general-gate2,6,6,1,3,,1,1
5/7/2015,general-gate4,5,5,1,2,,1,1
5/7/2015,general-gate5,3,2,1,1,,,1
5/7/2015,general-gate6,1,,,,,,
5/7/2015,general-gate7,6,10,3,2,,1,3
5/7/2015,ranger-base,,,,,,,2
5/7/2015,ranger-stop0,6,6,1,3,,1,1
5/7/2015,ranger-stop1,,,,,,,2
5/7/2015,ranger-stop2,6,6,1,3,,1,2
5/7/2015,ranger-stop3,,,,,,,2
5/7/2015,ranger-stop4,,,,,,,2
5/7/2015,ranger-stop6,,,,,,,1
5/8/2015,camping0,2,,,,,,
5/8/2015,camping1,4,,,,,,
5/8/2015,camping2,3,2,,,,,
5/8/2015,camping3,2,1,,,,,
5/8/2015,camping4,2,,,,,,
5/8/2015,camping5,2,3,,,,,
5/8/2015,camping6,1,2,,,,,
5/8/2015,camping7,,,,,,,2
5/8/2015,camping8,,1,,,,,1
5/8/2015,entrance0,5,6,4,,1,,
5/8/2015,entrance1,9,5,4,,,,
5/8/2015,entrance2,6,7,2,2,1,,
5/8/2015,entrance3,6,6,4,,,,
5/8/2015,entrance4,5,7,4,2,,,
5/8/2015,gate2,,,,,,,2
5/8/2015,gate3,,,,,,,6
5/8/2015,gate4,,,,,,,2
5/8/2015,gate5,,,,,,,6
5/8/2015,gate6,,,,,,,4
5/8/2015,gate7,,,,,,,2
5/8/2015,gate8,,,,,,,8
5/8/2015,general-gate0,4,,,,,,
5/8/2015,general-gate1,13,9,6,,1,,
5/8/2015,general-gate2,13,9,6,,1,,
5/8/2015,general-gate3,,1,,,,,1
5/8/2015,general-gate4,12,6,3,,,,
5/8/2015,general-gate5,5,6,4,,,,5
5/8/2015,general-gate6,,,,,,,2
5/8/2015,general-gate7,17,9,4,,,,3
5/8/2015,ranger-base,,,,,,,8
5/8/2015,ranger-stop0,13,9,6,,1,,
5/8/2015,ranger-stop1,,,,,,,2
5/8/2015,ranger-stop2,13,9,6,,1,,
5/8/2015,ranger-stop3,,,,,,,6
5/8/2015,ranger-stop4,,,,,,,2
5/8/2015,ranger-stop5,,,,,,,2
5/8/2015,ranger-stop6,,,,,,,6
5/8/2015,ranger-stop7,,,,,,,2
5/9/2015,camping0,,4,,,,,
5/9/2015,camping2,1,1,,,,,
5/9/2015,camping3,2,,,,,,
5/9/2015,camping4,4,,,,,,
5/9/2015,camping5,6,,,,,,
5/9/2015,camping6,4,1,,,,,
5/9/2015,camping7,1,2,,,,,2
5/9/2015,camping8,,2,1,,,,
5/9/2015,entrance0,5,6,,2,3,,
5/9/2015,entrance1,5,6,2,1,2,,
5/9/2015,entrance2,2,4,1,2,,,
5/9/2015,entrance3,8,5,,,1,,
5/9/2015,entrance4,5,3,2,1,2,,
5/9/2015,gate2,,,,,,,2
5/9/2015,gate5,,,,,,,2
5/9/2015,gate6,,,,,,,2
5/9/2015,gate8,,,,,,,6
5/9/2015,general-gate1,11,8,2,3,2,,2
5/9/2015,general-gate2,11,8,2,3,2,,2
5/9/2015,general-gate4,10,7,2,1,2,,2
5/9/2015,general-gate5,9,2,2,1,2,,2
5/9/2015,general-gate6,1,2,,,,,2
5/9/2015,general-gate7,16,11,2,1,2,,4
5/9/2015,ranger-base,,,,,,,6
5/9/2015,ranger-stop0,11,8,2,3,2,,3
5/9/2015,ranger-stop1,,,,,,,2
5/9/2015,ranger-stop2,11,8,2,3,2,,3
5/9/2015,ranger-stop4,,,,,,,2
5/9/2015,ranger-stop6,,,,,,,2
5/10/2015,camping0,1,,,,,,
5/10/2015,camping2,1,1,,,,,
5/10/2015,camping3,6,3,,,,,
5/10/2015,camping4,1,1,,,,,
5/10/2015,camping5,,2,1,,,,
5/10/2015,camping6,6,,1,,,,
5/10/2015,camping7,2,1,,,,,
5/10/2015,camping8,1,,,,,,2
5/10/2015,entrance0,6,9,,1,2,,
5/10/2015,entrance1,1,1,1,2,2,,
5/10/2015,entrance2,8,6,1,1,2,1,
5/10/2015,entrance3,7,6,,1,,,
5/10/2015,entrance4,6,4,,1,2,1,
5/10/2015,gate2,,,,,,,4
5/10/2015,gate3,,,,,,,6
5/10/2015,gate4,,,,,,,4
5/10/2015,gate5,,,,,,,8
5/10/2015,gate6,,,,,,,8
5/10/2015,gate7,,,,,,,6
5/10/2015,gate8,,,,,,,8
5/10/2015,general-gate1,13,7,2,,4,,4
5/10/2015,general-gate2,13,7,2,,4,,4
5/10/2015,general-gate3,1,,,,,,2
5/10/2015,general-gate4,6,6,2,1,2,,4
5/10/2015,general-gate5,8,2,1,,2,,8
5/10/2015,general-gate6,2,1,,,,,
5/10/2015,general-gate7,10,8,2,2,2,,8
5/10/2015,ranger-base,,,,,,,8
5/10/2015,ranger-stop0,13,7,2,,4,,6
5/10/2015,ranger-stop1,,,,,,,4
5/10/2015,ranger-stop2,13,7,2,,4,,6
5/10/2015,ranger-stop3,,,,,,,6
5/10/2015,ranger-stop4,,,,,,,6
5/10/2015,ranger-stop5,,,,,,,4
5/10/2015,ranger-stop6,,,,,,,10
5/10/2015,ranger-stop7,,,,,,,6
5/11/2015,camping0,1,2,1,,,,
5/11/2015,camping2,1,2,,,,,
5/11/2015,camping3,1,2,2,,,,
5/11/2015,camping4,3,,,,,,
5/11/2015,camping5,2,,1,,,,
5/11/2015,camping7,,1,,,,,
5/11/2015,camping8,4,2,2,,,,1
5/11/2015,entrance0,8,3,6,3,1,,
5/11/2015,entrance1,7,1,4,2,1,,
5/11/2015,entrance2,2,5,,2,,1,
5/11/2015,entrance3,8,3,3,1,,,
5/11/2015,entrance4,7,3,3,,,1,
5/11/2015,gate3,,,,,,,6
5/11/2015,gate4,,,,,,,2
5/11/2015,gate5,,,,,,,6
5/11/2015,gate6,,,,,,,4
5/11/2015,gate7,,,,,,,4
5/11/2015,gate8,,,,,,,8
5/11/2015,general-gate1,13,7,3,2,,,2
5/11/2015,general-gate2,13,7,3,2,,,2
5/11/2015,general-gate3,,1,,,,,1
5/11/2015,general-gate4,7,5,6,2,1,,2
5/11/2015,general-gate5,7,3,3,,,,7
5/11/2015,general-gate6,,1,,,,,
5/11/2015,general-gate7,10,7,8,2,1,,2
5/11/2015,ranger-base,,,,,,,8
5/11/2015,ranger-stop0,13,7,3,2,,,3
5/11/2015,ranger-stop2,13,7,3,2,,,3
5/11/2015,ranger-stop3,,,,,,,6
5/11/2015,ranger-stop4,,,,,,,2
5/11/2015,ranger-stop5,,,,,,,2
5/11/2015,ranger-stop6,,,,,,,6
5/11/2015,ranger-stop7,,,,,,,4
5/12/2015,camping0,1,1,1,,,,
5/12/2015,camping2,1,1,,,,,
5/12/2015,camping3,1,1,,,,,
5/12/2015,camping4,,,1,,,,
5/12/2015,camping5,1,3,1,,,,
5/12/2015,camping6,3,,2,,,,
5/12/2015,camping7,4,3,,,,,
5/12/2015,camping8,,2,1,,,,2
5/12/2015,entrance0,4,2,2,,1,1,
5/12/2015,entrance1,2,5,1,1,,1,
5/12/2015,entrance2,5,6,4,4,,1,
5/12/2015,entrance3,5,4,5,2,2,1,
5/12/2015,entrance4,5,3,6,1,1,2,
5/12/2015,gate2,,,,,,,4
5/12/2015,gate3,,,,,,,4
5/12/2015,gate4,,,,,,,6
5/12/2015,gate5,,,,,,,6
5/12/2015,gate6,,,,,,,4
5/12/2015,gate7,,,,,,,4
5/12/2015,gate8,,,,,,,8
5/12/2015,general-gate1,9,8,9,3,1,3,4
5/12/2015,general-gate2,9,8,9,3,1,3,6
5/12/2015,general-gate3,,1,,,,,2
5/12/2015,general-gate4,6,4,4,1,,1,4
5/12/2015,general-gate5,5,2,5,,1,2,8
5/12/2015,general-gate6,4,3,,,,,
5/12/2015,general-gate7,6,8,4,1,,1,6
5/12/2015,ranger-base,,,,,,,8
5/12/2015,ranger-stop0,9,8,9,3,1,3,8
5/12/2015,ranger-stop1,,,,,,,4
5/12/2015,ranger-stop2,9,8,9,3,1,3,6
5/12/2015,ranger-stop3,,,,,,,4
5/12/2015,ranger-stop4,,,,,,,4
5/12/2015,ranger-stop5,,,,,,,6
5/12/2015,ranger-stop6,,,,,,,8
5/12/2015,ranger-stop7,,,,,,,4
5/13/2015,camping0,,2,,,,,
5/13/2015,camping2,2,,,,,,
5/13/2015,camping4,,1,1,,,,
5/13/2015,camping5,2,1,2,,,,
5/13/2015,camping6,1,7,,,,,
5/13/2015,camping7,1,2,,,,,
5/13/2015,camping8,2,2,,,,,3
5/13/2015,entrance0,4,7,3,4,,,
5/13/2015,entrance1,4,5,1,1,1,,
5/13/2015,entrance2,7,6,1,4,2,1,
5/13/2015,entrance3,5,10,4,2,,,
5/13/2015,entrance4,4,4,2,1,1,1,
5/13/2015,gate2,,,,,,,2
5/13/2015,gate3,,,,,,,2
5/13/2015,gate4,,,,,,,4
5/13/2015,gate5,,,,,,,4
5/13/2015,gate6,,,,,,,2
5/13/2015,gate8,,,,,,,6
5/13/2015,general-gate1,11,13,3,5,1,,
5/13/2015,general-gate2,11,13,3,5,1,,4
5/13/2015,general-gate3,1,1,,,,,2
5/13/2015,general-gate4,7,3,2,1,1,,
5/13/2015,general-gate5,5,11,2,1,,,4
5/13/2015,general-gate6,1,2,,,,,
5/13/2015,general-gate7,8,8,4,1,1,,2
5/13/2015,ranger-base,,,,,,,6
5/13/2015,ranger-stop0,11,13,3,5,1,,4
5/13/2015,ranger-stop1,,,,,,,2
5/13/2015,ranger-stop2,11,13,3,5,1,,2
5/13/2015,ranger-stop3,,,,,,,2
5/13/2015,ranger-stop5,,,,,,,4
5/13/2015,ranger-stop6,,,,,,,4
5/14/2015,camping0,1,,,,,,
5/14/2015,camping2,1,1,1,,,,
5/14/2015,camping3,1,1,,,,,
5/14/2015,camping4,1,,,,,,2
5/14/2015,camping5,4,1,,,,,
5/14/2015,camping6,1,,,,,,
5/14/2015,camping7,1,2,,,,,
5/14/2015,camping8,1,2,1,,,,
5/14/2015,entrance0,2,4,1,1,2,,
5/14/2015,entrance1,7,3,5,1,2,,
5/14/2015,entrance2,10,2,2,1,3,,
5/14/2015,entrance3,6,3,5,,3,1,
5/14/2015,entrance4,5,2,5,4,3,1,
5/14/2015,gate0,,,,,,,1
5/14/2015,gate1,,,,,,,1
5/14/2015,gate3,,,,,,,2
5/14/2015,gate4,,,,,,,2
5/14/2015,gate5,,,,,,,5
5/14/2015,gate6,,,,,,,1
5/14/2015,gate8,,,,,,,6
5/14/2015,general-gate1,12,6,6,2,5,1,3
5/14/2015,general-gate2,12,6,6,2,5,1,3
5/14/2015,general-gate3,1,,,,,,
5/14/2015,general-gate4,12,5,2,1,2,,2
5/14/2015,general-gate5,5,2,4,3,2,1,3
5/14/2015,general-gate6,1,2,,,,,
5/14/2015,general-gate7,15,6,4,1,2,,3
5/14/2015,ranger-base,,,,,,,6
5/14/2015,ranger-stop0,12,6,6,2,5,1,4
5/14/2015,ranger-stop2,12,6,6,2,5,1,4
5/14/2015,ranger-stop3,,,,,,,2
5/14/2015,ranger-stop4,,,,,,,2
5/14/2015,ranger-stop5,,,,,,,2
5/14/2015,ranger-stop6,,,,,,,5
5/15/2015,camping2,2,1,2,,,,
5/15/2015,camping3,1,2,,,,,
5/15/2015,camping4,3,,2,,,,
5/15/2015,camping5,,3,2,,,,
5/15/2015,camping6,1,,,,,,
5/15/2015,camping7,1,1,2,,,,2
5/15/2015,camping8,1,1,,,,,2
5/15/2015,entrance0,5,5,4,,1,,
5/15/2015,entrance1,4,6,6,3,1,,
5/15/2015,entrance2,6,6,,,1,,
5/15/2015,entrance3,8,4,3,2,2,,
5/15/2015,entrance4,3,8,1,2,2,,
5/15/2015,gate2,,,,,,,6
5/15/2015,gate3,,,,,,,6
5/15/2015,gate4,,,,,,,4
5/15/2015,gate5,,,,,,,8
5/15/2015,gate6,,,,,,,8
5/15/2015,gate7,,,,,,,6
5/15/2015,gate8,,,,,,,7
5/15/2015,general-gate1,8,13,3,3,2,,4
5/15/2015,general-gate2,8,13,3,3,2,,3
5/15/2015,general-gate3,,,,,,,2
5/15/2015,general-gate4,5,10,4,2,,,4
5/15/2015,general-gate5,3,7,3,2,2,,7
5/15/2015,general-gate6,1,1,2,,,,2
5/15/2015,general-gate7,10,13,8,3,1,,8
5/15/2015,ranger-base,,,,,,,7
5/15/2015,ranger-stop0,8,13,3,3,2,,5
5/15/2015,ranger-stop1,,,,,,,6
5/15/2015,ranger-stop2,8,13,3,3,2,,6
5/15/2015,ranger-stop3,,,,,,,6
5/15/2015,ranger-stop4,,,,,,,4
5/15/2015,ranger-stop5,,,,,,,4
5/15/2015,ranger-stop6,,,,,,,10
5/15/2015,ranger-stop7,,,,,,,6
5/16/2015,camping0,4,1,,,,,
5/16/2015,camping1,,,,,,,2
5/16/2015,camping2,2,2,,,,,2
5/16/2015,camping3,1,1,2,,,,
5/16/2015,camping4,,3,,,,,
5/16/2015,camping5,2,2,,,,,
5/16/2015,camping6,,1,2,,,,
5/16/2015,camping7,6,1,2,,,,
5/16/2015,camping8,5,2,,,,,
5/16/2015,entrance0,6,4,1,1,,,
5/16/2015,entrance1,4,8,3,1,,3,
5/16/2015,entrance2,5,9,2,2,,1,
5/16/2015,entrance3,7,6,5,,,2,
5/16/2015,entrance4,6,6,1,,,,
5/16/2015,gate3,,,,,,,2
5/16/2015,gate5,,,,,,,1
5/16/2015,gate6,,,,,,,1
5/16/2015,gate8,,,,,,,5
5/16/2015,general-gate0,,,,,,,1
5/16/2015,general-gate1,10,12,5,2,,1,3
5/16/2015,general-gate2,10,12,5,2,,1,4
5/16/2015,general-gate3,1,,,,,,
5/16/2015,general-gate4,6,6,2,1,,1,3
5/16/2015,general-gate5,6,6,3,,,,6
5/16/2015,general-gate6,6,1,2,,,,
5/16/2015,general-gate7,11,10,5,1,,3,4
5/16/2015,ranger-base,,,,,,,5
5/16/2015,ranger-stop0,10,12,5,2,,1,5
5/16/2015,ranger-stop2,10,12,5,2,,1,4
5/16/2015,ranger-stop3,,,,,,,2
5/16/2015,ranger-stop4,,,,,,,2
5/16/2015,ranger-stop6,,,,,,,1
5/17/2015,camping0,2,,,,,,
5/17/2015,camping2,,,1,,,,2
5/17/2015,camping3,,2,2,,,,2
5/17/2015,camping4,2,3,,,,,
5/17/2015,camping5,2,1,1,,,,
5/17/2015,camping6,1,,,,,,
5/17/2015,camping7,,2,,,,,
5/17/2015,camping8,4,1,1,,,,
5/17/2015,entrance0,4,4,1,2,1,,
5/17/2015,entrance1,2,5,3,4,1,,
5/17/2015,entrance2,8,5,3,2,1,,
5/17/2015,entrance3,4,6,2,,,,
5/17/2015,entrance4,5,5,,,1,,
5/17/2015,gate0,,,,,,,1
5/17/2015,gate1,,,,,,,1
5/17/2015,gate5,,,,,,,1
5/17/2015,gate6,,,,,,,1
5/17/2015,gate7,,,,,,,2
5/17/2015,gate8,,,,,,,6
5/17/2015,general-gate1,12,11,4,2,2,,5
5/17/2015,general-gate2,12,11,4,2,2,,5
5/17/2015,general-gate3,1,,,,,,
5/17/2015,general-gate4,6,10,3,4,1,,4
5/17/2015,general-gate5,3,7,,,1,,5
5/17/2015,general-gate6,,2,,,,,
5/17/2015,general-gate7,8,11,5,4,1,,5
5/17/2015,ranger-base,,,,,,,6
5/17/2015,ranger-stop0,12,11,4,2,2,,7
5/17/2015,ranger-stop2,12,11,4,2,2,,8
5/17/2015,ranger-stop4,,,,,,,4
5/17/2015,ranger-stop6,,,,,,,1
5/17/2015,ranger-stop7,,,,,,,2
5/18/2015,camping2,2,2,1,,,,
5/18/2015,camping3,1,3,,,,,
5/18/2015,camping4,3,,2,,,,
5/18/2015,camping5,3,1,3,,,,
5/18/2015,camping6,4,,2,,,,
5/18/2015,camping7,2,,,,,,
5/18/2015,camping8,2,2,1,,,,
5/18/2015,entrance0,5,6,1,2,2,1,
5/18/2015,entrance1,2,9,3,,1,,
5/18/2015,entrance2,6,1,1,1,2,,
5/18/2015,entrance3,10,7,4,,2,,
5/18/2015,entrance4,2,9,2,1,1,1,
5/18/2015,gate3,,,,,,,2
5/18/2015,gate5,,,,,,,2
5/18/2015,gate6,,,,,,,2
5/18/2015,gate7,,,,,,,2
5/18/2015,gate8,,,,,,,2
5/18/2015,general-gate1,8,8,4,2,3,1,
5/18/2015,general-gate2,8,8,4,2,3,1,
5/18/2015,general-gate4,5,8,3,,1,,
5/18/2015,general-gate5,4,8,3,1,1,1,2
5/18/2015,general-gate6,2,,,,,,
5/18/2015,general-gate7,11,12,6,,1,,
5/18/2015,ranger-base,,,,,,,2
5/18/2015,ranger-stop0,8,8,4,2,3,1,
5/18/2015,ranger-stop2,8,8,4,2,3,1,
5/18/2015,ranger-stop3,,,,,,,2
5/18/2015,ranger-stop6,,,,,,,2
5/18/2015,ranger-stop7,,,,,,,2
5/19/2015,camping0,1,2,,,,,
5/19/2015,camping2,1,,,,,,
5/19/2015,camping3,2,,1,,,,
5/19/2015,camping4,3,3,,,,,
5/19/2015,camping5,1,1,,,,,
5/19/2015,camping6,2,1,,,,,2
5/19/2015,camping8,2,,,,,,2
5/19/2015,entrance0,3,7,2,4,1,,
5/19/2015,entrance1,6,7,3,3,,,
5/19/2015,entrance2,4,2,3,2,1,,
5/19/2015,entrance3,6,5,2,3,2,,
5/19/2015,entrance4,4,7,1,,,,
5/19/2015,gate0,,,,,,,1
5/19/2015,gate1,,,,,,,1
5/19/2015,gate2,,,,,,,2
5/19/2015,gate5,,,,,,,1
5/19/2015,gate6,,,,,,,1
5/19/2015,gate8,,,,,,,4
5/19/2015,general-gate1,6,9,4,2,1,,3
5/19/2015,general-gate2,6,9,4,2,1,,3
5/19/2015,general-gate4,5,9,4,1,,,2
5/19/2015,general-gate5,4,6,1,,,,5
5/19/2015,general-gate7,10,11,4,3,,,3
5/19/2015,ranger-base,,,,,,,4
5/19/2015,ranger-stop0,6,9,4,2,1,,4
5/19/2015,ranger-stop1,,,,,,,2
5/19/2015,ranger-stop2,6,9,4,2,1,,5
5/19/2015,ranger-stop4,,,,,,,2
5/19/2015,ranger-stop6,,,,,,,1
