date,day,CarType,Total,camping0,camping1,camping2,camping3,camping4,camping5,camping6,camping7,camping8,entrance0,entrance1,entrance2,entrance3,entrance4,gate0,gate1,gate2,gate3,gate4,gate5,gate6,gate7,gate8,general-gate0,general-gate1,general-gate2,general-gate3,general-gate4,general-gate5,general-gate6,general-gate7,ranger-base,ranger-stop0,ranger-stop1,ranger-stop2,ranger-stop3,ranger-stop4,ranger-stop5,ranger-stop6,ranger-stop7
5/3/2015,3,2P,67,,,,,,2,,,1,,,,,,,,,4,2,6,4,4,6,,2,,1,2,3,,2,6,2,,2,4,2,2,6,4
5/4/2015,4,1,79,1,2,,2,,1,1,,1,9,5,2,7,1,,,,,,,,,,2,7,7,,6,2,,9,,7,,7,,,,,
5/4/2015,4,2,52,1,,1,2,,,,,1,1,3,3,3,2,,,,,,,,,,,6,6,,4,2,,5,,6,,6,,,,,
5/4/2015,4,3,49,2,,,2,,,,1,1,1,2,1,2,2,,,,,,,,,,,5,5,,5,3,1,6,,5,,5,,,,,
5/4/2015,4,4,26,,,,,,,,,,1,2,2,,3,,,,,,,,,,,3,3,,2,2,,2,,3,,3,,,,,
5/4/2015,4,5,8,,,,,,,,,,,,2,1,1,,,,,,,,,,,1,1,,,,,,,1,,1,,,,,
5/4/2015,4,6,14,,,,,,,,,,1,1,2,,,,,,,,,,,,,2,2,,1,,,1,,2,,2,,,,,
5/4/2015,4,2P,108,,,,,,,,,2,,,,,,,,2,8,4,8,6,6,8,,2,2,2,2,8,,3,8,3,2,3,8,2,4,9,6
5/5/2015,5,1,96,3,,2,,2,1,4,,1,3,3,5,4,10,,,,,,,,,,,8,8,,8,7,,11,,8,,8,,,,,
5/5/2015,5,2,53,,,1,,,1,,1,,8,3,3,7,2,,,,,,,,,,,4,4,,3,2,1,5,,4,,4,,,,,
5/5/2015,5,3,29,,,1,,,1,,,,1,1,1,3,2,,,,,,,,,,,3,3,,2,2,,3,,3,,3,,,,,
5/5/2015,5,4,24,,,,,,,,,,1,1,,3,1,,,,2,,2,2,,,,1,1,,,3,,1,,1,,1,2,,,2,
5/5/2015,5,2P,48,,,,,,,,,2,,,,,,,,,4,4,4,,,6,,,2,2,,4,,,6,2,,,4,,4,4,
5/6/2015,6,1,126,1,,,4,,6,2,1,2,2,8,9,7,4,,,,,,,,,,,14,14,,7,5,1,11,,14,,14,,,,,
5/6/2015,6,2,88,,,1,2,,,2,1,1,8,5,4,4,4,,,,,,,,,,,8,8,1,8,6,1,8,,8,,8,,,,,
5/6/2015,6,3,36,1,2,,,,,2,,,3,2,1,3,2,,,,,,,,,,2,3,3,,2,1,,3,,3,,3,,,,,
5/6/2015,6,4,16,,,,,,,,,,1,3,1,3,,,,,,,,,,,,1,1,,1,,,3,,1,,1,,,,,
5/6/2015,6,5,15,,,,,,,,,,,1,1,1,1,,,,,,,,,,,2,2,,1,1,,1,,2,,2,,,,,
5/6/2015,6,6,2,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/6/2015,6,2P,42,,,,,,,,,1,,,,,,,,2,2,2,4,2,2,4,,,,1,,1,,3,4,,2,,2,2,2,4,2
5/7/2015,7,1,73,,,2,1,,2,2,1,2,6,4,7,1,6,,,,,,,,,,,6,6,,5,3,1,6,,6,,6,,,,,
5/7/2015,7,2,65,,,1,4,1,,,,,3,4,4,5,2,,,,,,,,,,,6,6,,5,2,,10,,6,,6,,,,,
5/7/2015,7,3,21,,,,,2,1,1,,1,2,,2,2,1,,,,,,,,,,,1,1,,1,1,,3,,1,,1,,,,,
5/7/2015,7,4,31,,,,,,,,,,5,2,2,4,1,,,,,,,,,,,3,3,,2,1,,2,,3,,3,,,,,
5/7/2015,7,6,10,,,,,,,,,,1,1,1,1,,,,,,,,,,,,1,1,,1,,,1,,1,,1,,,,,
5/7/2015,7,2P,27,,,,,,,,,,,,,,,,,2,2,,1,1,,2,,1,1,,1,1,,3,2,1,2,2,2,2,,1,
5/8/2015,8,1,137,2,4,3,2,2,2,1,,,5,9,6,6,5,,,,,,,,,,4,13,13,,12,5,,17,,13,,13,,,,,
5/8/2015,8,2,98,,,2,1,,3,2,,1,6,5,7,6,7,,,,,,,,,,,9,9,1,6,6,,9,,9,,9,,,,,
5/8/2015,8,3,53,,,,,,,,,,4,4,2,4,4,,,,,,,,,,,6,6,,3,4,,4,,6,,6,,,,,
5/8/2015,8,4,4,,,,,,,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
5/8/2015,8,5,6,,,,,,,,,,1,,1,,,,,,,,,,,,,1,1,,,,,,,1,,1,,,,,
5/8/2015,8,2P,72,,,,,,,,2,1,,,,,,,,2,6,2,6,4,2,8,,,,1,,5,2,3,8,,2,,6,2,2,6,2
5/9/2015,9,1,123,,,1,2,4,6,4,1,,5,5,2,8,5,,,,,,,,,,,11,11,,10,9,1,16,,11,,11,,,,,
5/9/2015,9,2,88,4,,1,,,,1,2,2,6,6,4,5,3,,,,,,,,,,,8,8,,7,2,2,11,,8,,8,,,,,
5/9/2015,9,3,20,,,,,,,,,1,,2,1,,2,,,,,,,,,,,2,2,,2,2,,2,,2,,2,,,,,
5/9/2015,9,4,21,,,,,,,,,,2,1,2,,1,,,,,,,,,,,3,3,,1,1,,1,,3,,3,,,,,
5/9/2015,9,5,22,,,,,,,,,,3,2,,1,2,,,,,,,,,,,2,2,,2,2,,2,,2,,2,,,,,
5/9/2015,9,2P,46,,,,,,,,2,,,,,,,,,2,,,2,2,,6,,2,2,,2,2,2,4,6,3,2,3,,2,,2,
5/10/2015,10,1,125,1,,1,6,1,,6,2,1,6,1,8,7,6,,,,,,,,,,,13,13,1,6,8,2,10,,13,,13,,,,,
5/10/2015,10,2,79,,,1,3,1,2,,1,,9,1,6,6,4,,,,,,,,,,,7,7,,6,2,1,8,,7,,7,,,,,
5/10/2015,10,3,17,,,,,,1,1,,,,1,1,,,,,,,,,,,,,2,2,,2,1,,2,,2,,2,,,,,
5/10/2015,10,4,9,,,,,,,,,,1,2,1,1,1,,,,,,,,,,,,,,1,,,2,,,,,,,,,
5/10/2015,10,5,30,,,,,,,,,,2,2,2,,2,,,,,,,,,,,4,4,,2,2,,2,,4,,4,,,,,
5/10/2015,10,6,2,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
5/10/2015,10,2P,132,,,,,,,,,2,,,,,,,,4,6,4,8,8,6,8,,4,4,2,4,8,,8,8,6,4,6,6,6,4,10,6
5/11/2015,11,1,120,1,,1,1,3,2,,,4,8,7,2,8,7,,,,,,,,,,,13,13,,7,7,,10,,13,,13,,,,,
5/11/2015,11,2,69,2,,2,2,,,,1,2,3,1,5,3,3,,,,,,,,,,,7,7,1,5,3,1,7,,7,,7,,,,,
5/11/2015,11,3,51,1,,,2,,1,,,2,6,4,,3,3,,,,,,,,,,,3,3,,6,3,,8,,3,,3,,,,,
5/11/2015,11,4,20,,,,,,,,,,3,2,2,1,,,,,,,,,,,,2,2,,2,,,2,,2,,2,,,,,
5/11/2015,11,5,4,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,
5/11/2015,11,6,2,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
5/11/2015,11,2P,81,,,,,,,,,1,,,,,,,,,6,2,6,4,4,8,,2,2,1,2,7,,2,8,3,,3,6,2,2,6,4
5/12/2015,12,1,89,1,,1,1,,1,3,4,,4,2,5,5,5,,,,,,,,,,,9,9,,6,5,4,6,,9,,9,,,,,
5/12/2015,12,2,81,1,,1,1,,3,,3,2,2,5,6,4,3,,,,,,,,,,,8,8,1,4,2,3,8,,8,,8,,,,,
5/12/2015,12,3,73,1,,,,1,1,2,,1,2,1,4,5,6,,,,,,,,,,,9,9,,4,5,,4,,9,,9,,,,,
5/12/2015,12,4,22,,,,,,,,,,,1,4,2,1,,,,,,,,,,,3,3,,1,,,1,,3,,3,,,,,
5/12/2015,12,5,9,,,,,,,,,,1,,,2,1,,,,,,,,,,,1,1,,,1,,,,1,,1,,,,,
5/12/2015,12,6,22,,,,,,,,,,1,1,1,1,2,,,,,,,,,,,3,3,,1,2,,1,,3,,3,,,,,
5/12/2015,12,2P,120,,,,,,,,,2,,,,,,,,4,4,6,6,4,4,8,,4,6,2,4,8,,6,8,8,4,6,4,4,6,8,4
5/13/2015,13,1,98,,,2,,,2,1,1,2,4,4,7,5,4,,,,,,,,,,,11,11,1,7,5,1,8,,11,,11,,,,,
5/13/2015,13,2,124,2,,,,1,1,7,2,2,7,5,6,10,4,,,,,,,,,,,13,13,1,3,11,2,8,,13,,13,,,,,
5/13/2015,13,3,34,,,,,1,2,,,,3,1,1,4,2,,,,,,,,,,,3,3,,2,2,,4,,3,,3,,,,,
5/13/2015,13,4,35,,,,,,,,,,4,1,4,2,1,,,,,,,,,,,5,5,,1,1,,1,,5,,5,,,,,
5/13/2015,13,5,10,,,,,,,,,,,1,2,,1,,,,,,,,,,,1,1,,1,,,1,,1,,1,,,,,
5/13/2015,13,6,2,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
5/13/2015,13,2P,59,,,,,,,,,3,,,,,,,,2,2,4,4,2,,6,,,4,2,,4,,2,6,4,2,2,2,,4,4,
5/14/2015,14,1,123,1,,1,1,1,4,1,1,1,2,7,10,6,5,,,,,,,,,,,12,12,1,12,5,1,15,,12,,12,,,,,
5/14/2015,14,2,60,,,1,1,,1,,2,2,4,3,2,3,2,,,,,,,,,,,6,6,,5,2,2,6,,6,,6,,,,,
5/14/2015,14,3,54,,,1,,,,,,1,1,5,2,5,5,,,,,,,,,,,6,6,,2,4,,4,,6,,6,,,,,
5/14/2015,14,4,20,,,,,,,,,,1,1,1,,4,,,,,,,,,,,2,2,,1,3,,1,,2,,2,,,,,
5/14/2015,14,5,39,,,,,,,,,,2,2,3,3,3,,,,,,,,,,,5,5,,2,2,,2,,5,,5,,,,,
5/14/2015,14,6,7,,,,,,,,,,,,,1,1,,,,,,,,,,,1,1,,,1,,,,1,,1,,,,,
5/14/2015,14,2P,59,,,,,2,,,,,,,,,,1,1,,2,2,5,1,,6,,3,3,,2,3,,3,6,4,,4,2,2,2,5,
5/15/2015,15,1,86,,,2,1,3,,1,1,1,5,4,6,8,3,,,,,,,,,,,8,8,,5,3,1,10,,8,,8,,,,,
5/15/2015,15,2,120,,,1,2,,3,,1,1,5,6,6,4,8,,,,,,,,,,,13,13,,10,7,1,13,,13,,13,,,,,
5/15/2015,15,3,51,,,2,,2,2,,2,,4,6,,3,1,,,,,,,,,,,3,3,,4,3,2,8,,3,,3,,,,,
5/15/2015,15,4,26,,,,,,,,,,,3,,2,2,,,,,,,,,,,3,3,,2,2,,3,,3,,3,,,,,
5/15/2015,15,5,18,,,,,,,,,,1,1,1,2,2,,,,,,,,,,,2,2,,,2,,1,,2,,2,,,,,
5/15/2015,15,2P,133,,,,,,,,2,2,,,,,,,,6,6,4,8,8,6,7,,4,3,2,4,7,2,8,7,5,6,6,6,4,4,10,6
5/16/2015,16,1,118,4,,2,1,,2,,6,5,6,4,5,7,6,,,,,,,,,,,10,10,1,6,6,6,11,,10,,10,,,,,
5/16/2015,16,2,117,1,,2,1,3,2,1,1,2,4,8,9,6,6,,,,,,,,,,,12,12,,6,6,1,10,,12,,12,,,,,
5/16/2015,16,3,50,,,,2,,,2,2,,1,3,2,5,1,,,,,,,,,,,5,5,,2,3,2,5,,5,,5,,,,,
5/16/2015,16,4,14,,,,,,,,,,1,1,2,,,,,,,,,,,,,2,2,,1,,,1,,2,,2,,,,,
5/16/2015,16,6,14,,,,,,,,,,,3,1,2,,,,,,,,,,,,1,1,,1,,,3,,1,,1,,,,,
5/16/2015,16,2P,53,,2,2,,,,,,,,,,,,,,,2,,1,1,,5,1,3,4,,3,6,,4,5,5,,4,2,2,,1,
5/17/2015,17,1,100,2,,,,2,2,1,,4,4,2,8,4,5,,,,,,,,,,,12,12,1,6,3,,8,,12,,12,,,,,
5/17/2015,17,2,108,,,,2,3,1,,2,1,4,5,5,6,5,,,,,,,,,,,11,11,,10,7,2,11,,11,,11,,,,,
5/17/2015,17,3,38,,,1,2,,1,,,1,1,3,3,2,,,,,,,,,,,,4,4,,3,,,5,,4,,4,,,,,
5/17/2015,17,4,24,,,,,,,,,,2,4,2,,,,,,,,,,,,,2,2,,4,,,4,,2,,2,,,,,
5/17/2015,17,5,15,,,,,,,,,,1,1,1,,1,,,,,,,,,,,2,2,,1,1,,1,,2,,2,,,,,
5/17/2015,17,2P,68,,,2,2,,,,,,,,,,,1,1,,,,1,1,2,6,,5,5,,4,5,,5,6,7,,8,,4,,1,2
5/18/2015,18,1,96,,,2,1,3,3,4,2,2,5,2,6,10,2,,,,,,,,,,,8,8,,5,4,2,11,,8,,8,,,,,
5/18/2015,18,2,100,,,2,3,,1,,,2,6,9,1,7,9,,,,,,,,,,,8,8,,8,8,,12,,8,,8,,,,,
5/18/2015,18,3,48,,,1,,2,3,2,,1,1,3,1,4,2,,,,,,,,,,,4,4,,3,3,,6,,4,,4,,,,,
5/18/2015,18,4,13,,,,,,,,,,2,,1,,1,,,,,,,,,,,2,2,,,1,,,,2,,2,,,,,
5/18/2015,18,5,23,,,,,,,,,,2,1,2,2,1,,,,,,,,,,,3,3,,1,1,,1,,3,,3,,,,,
5/18/2015,18,6,7,,,,,,,,,,1,,,,1,,,,,,,,,,,1,1,,,1,,,,1,,1,,,,,
5/18/2015,18,2P,20,,,,,,,,,,,,,,,,,,2,,2,2,2,2,,,,,,2,,,2,,,,2,,,2,2
5/19/2015,19,1,78,1,,1,2,3,1,2,,2,3,6,4,6,4,,,,,,,,,,,6,6,,5,4,,10,,6,,6,,,,,
5/19/2015,19,2,97,2,,,,3,1,1,,,7,7,2,5,7,,,,,,,,,,,9,9,,9,6,,11,,9,,9,,,,,
5/19/2015,19,3,37,,,,1,,,,,,2,3,3,2,1,,,,,,,,,,,4,4,,4,1,,4,,4,,4,,,,,
5/19/2015,19,4,24,,,,,,,,,,4,3,2,3,,,,,,,,,,,,2,2,,1,,,3,,2,,2,,,,,
5/19/2015,19,5,8,,,,,,,,,,1,,1,2,,,,,,,,,,,,1,1,,,,,,,1,,1,,,,,
5/19/2015,19,2P,48,,,,,,,2,,2,,,,,,1,1,2,,,1,1,,4,,3,3,,2,5,,3,4,4,2,5,,2,,1,
5/20/2015,20,1,137,1,,,2,4,4,3,1,1,9,2,3,7,10,,,,,,,,,,,14,14,,10,10,1,13,,14,,14,,,,,
5/20/2015,20,2,56,1,,,,2,1,,,1,3,4,3,4,4,,,,,,,,,,,5,5,,4,3,,6,,5,,5,,,,,
5/20/2015,20,3,43,2,,2,1,,1,,,,2,4,3,4,1,,,,,,,,,,,4,4,,1,1,,5,,4,,4,,,,,
5/20/2015,20,4,6,,,,,,,,,,,,1,1,,,,,,,,,,,,1,1,,,,,,,1,,1,,,,,
5/20/2015,20,5,7,,,,,,,,,,1,,,,1,,,,,,,,,,,1,1,,,1,,,,1,,1,,,,,
5/20/2015,20,6,7,,,,,,,,,,1,2,,1,,,,,,,,,,,,,,,1,,,2,,,,,,,,,
5/20/2015,20,2P,67,,,,,,,,2,1,,,,,,,,2,2,4,2,2,2,4,,2,4,1,2,5,2,3,4,5,2,3,2,2,4,3,2
5/21/2015,21,1,137,2,,,,,4,3,,,10,3,14,7,7,,,,,,,,,,,16,16,,8,6,,9,,16,,16,,,,,
5/21/2015,21,2,67,,,,1,3,1,,,2,3,5,3,5,5,,,,,,,,,,,6,6,1,4,5,,5,,6,,6,,,,,
5/21/2015,21,3,34,,,,,,1,,,2,2,1,3,3,1,,,,,,,,,,,4,4,1,1,1,,2,,4,,4,,,,,
5/21/2015,21,4,35,,,,,,,,,,1,1,3,5,,,,,2,,2,2,,,,3,3,,,2,,1,,3,,3,2,,,2,
5/21/2015,21,5,7,,,,,,,,,,,,,1,1,,,,,,,,,,,1,1,,,1,,,,1,,1,,,,,
5/21/2015,21,6,9,,,,,,,,,,,1,,,1,,,,,,,,,,,1,1,,1,1,,1,,1,,1,,,,,
5/21/2015,21,2P,82,2,,,,,,,,2,,,,,,2,2,2,,2,5,5,,8,,3,3,1,3,2,,7,8,4,2,5,,6,2,6,
5/22/2015,22,1,121,,,2,2,2,6,3,,3,7,9,5,7,4,,,,,,,,,,,11,11,,9,3,,15,,11,,11,,,,,
5/22/2015,22,2,72,1,,1,1,1,1,,,2,2,1,4,4,6,,,,,,,,,,,8,8,,5,5,,6,,8,,8,,,,,
5/22/2015,22,3,21,,,,,1,,,,,1,3,3,,1,,,,,,,,,,,2,2,,2,,,2,,2,,2,,,,,
5/22/2015,22,4,13,,,,,,,,,,,,1,2,1,,,,,,,,,,,2,2,,,1,,,,2,,2,,,,,
5/22/2015,22,5,13,,,,,,,,,,1,,1,1,1,,,,,,,,,,,2,2,,,1,,,,2,,2,,,,,
5/22/2015,22,2P,69,,,,2,,,,,4,,,,,,1,1,2,2,2,5,5,2,6,,1,3,,,5,,3,6,3,2,3,2,,2,5,2
5/23/2015,23,1,109,,,5,4,,2,1,,2,6,4,4,7,7,,,,,,,,,,,10,10,,9,5,,13,,10,,10,,,,,
5/23/2015,23,2,93,2,,2,4,,2,,1,2,8,6,5,5,4,,,,,,,,,,,7,7,1,7,4,1,11,,7,,7,,,,,
5/23/2015,23,3,56,,,1,,4,1,,,2,3,3,2,1,3,,,,,,,,,,,5,5,,6,3,,7,,5,,5,,,,,
5/23/2015,23,4,12,,,,,,,,,,1,2,1,2,,,,,,,,,,,,1,1,,,,,2,,1,,1,,,,,
5/23/2015,23,5,3,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,
5/23/2015,23,6,2,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/23/2015,23,2P,67,,,,,,,2,,,,,,,,,,2,2,2,4,4,4,6,,2,2,,2,4,,2,6,2,2,4,2,,2,7,4
5/24/2015,24,1,150,,,1,5,1,1,4,6,2,4,10,8,6,6,,,,,,,,,,,14,14,1,10,11,6,12,,14,,14,,,,,
5/24/2015,24,2,72,2,,,2,4,,1,,2,3,4,3,3,3,,,,,,,,,,,8,8,,4,3,,6,,8,,8,,,,,
5/24/2015,24,3,64,,2,1,,1,1,,1,,4,1,3,2,4,,,,,,,,,,2,8,8,,2,4,1,3,,8,,8,,,,,
5/24/2015,24,4,22,,,,,,,,,,2,2,2,2,2,,,,,,,,,,,2,2,,1,1,,2,,2,,2,,,,,
5/24/2015,24,5,13,,,,,,,,,,1,,1,1,1,,,,,,,,,,,2,2,,,1,,,,2,,2,,,,,
5/24/2015,24,2P,63,,,,,,,,,1,,,,,,,,,2,2,2,,,6,,4,4,1,4,5,,4,6,6,,6,2,4,2,2,
5/25/2015,25,1,120,1,,1,3,,3,,2,2,5,7,6,10,4,,,,,,,,,,,12,12,,8,5,2,13,,12,,12,,,,,
5/25/2015,25,2,75,1,,,,1,4,1,,1,5,4,5,4,4,,,,,,,,,,,7,7,,6,2,,9,,7,,7,,,,,
5/25/2015,25,3,48,,,1,,1,,,,,4,2,4,,2,,,,,,,,,,,6,6,,4,2,,4,,6,,6,,,,,
5/25/2015,25,4,32,,,,,,,,,,3,3,3,3,2,,,,,,,,,,,3,3,,2,1,,3,,3,,3,,,,,
5/25/2015,25,5,6,,,,,,,,,,1,1,1,,1,,,,,,,,,,,,,,1,,,1,,,,,,,,,
5/25/2015,25,2P,144,,,2,,,,,,4,,,,,,1,1,4,8,4,7,7,6,8,,5,5,2,4,11,,7,8,8,4,7,8,4,4,9,6
5/26/2015,26,1,123,,,2,5,2,2,3,3,1,8,5,8,6,7,,,,,,,,,,,10,10,1,9,5,3,13,,10,,10,,,,,
5/26/2015,26,2,59,,2,1,,1,1,1,,1,3,4,2,5,1,,,,,,,,,,2,7,7,,2,2,,3,,7,,7,,,,,
5/26/2015,26,3,26,1,,,1,,,,,,3,3,1,2,3,,,,,,,,,,,2,2,,1,2,,1,,2,,2,,,,,
5/26/2015,26,4,8,,,,,,,,,,2,1,1,1,1,,,,,,,,,,,,,,1,,,1,,,,,,,,,
5/26/2015,26,5,6,,,,,,,,,,1,,1,,,,,,,,,,,,,1,1,,,,,,,1,,1,,,,,
5/26/2015,26,2P,66,,,,,,4,2,,,,,,,,1,1,4,,2,5,7,2,6,,1,1,,,1,,5,6,1,4,2,,,2,7,2
5/27/2015,27,1,125,,,,3,1,1,2,3,3,4,5,6,5,12,,,,,,,,,,,12,12,,9,10,3,10,,12,,12,,,,,
5/27/2015,27,2,60,,,,,,2,1,,2,5,1,6,,3,,,,,,,,,,,8,8,,3,2,,3,,8,,8,,,,,
5/27/2015,27,3,45,1,,1,,1,,2,,,3,3,5,4,4,,,,,,,,,,,3,3,,3,2,,4,,3,,3,,,,,
5/27/2015,27,4,7,,,,,,,,,,1,,,,1,,,,,,,,,,,1,1,,,1,,,,1,,1,,,,,
5/27/2015,27,2P,69,,,6,,2,,,,1,,,,,,,,,2,4,7,5,2,6,,1,1,1,1,2,,4,6,2,,1,2,,4,7,2
5/28/2015,28,1,129,,,3,,,2,7,,5,6,5,13,9,3,,,,,,,,,,,14,14,2,5,6,,7,,14,,14,,,,,
5/28/2015,28,2,58,,,,1,,1,,2,1,3,3,3,4,5,,,,,,,,,,,5,5,,3,5,2,5,,5,,5,,,,,
5/28/2015,28,3,45,1,,,,2,,,1,,4,1,1,4,4,,,,,,,,,,,4,4,,3,3,1,4,,4,,4,,,,,
5/28/2015,28,4,27,,,,,,,,,,3,2,2,2,1,,,,,,,,,,,3,3,,2,1,,2,,3,,3,,,,,
5/28/2015,28,5,14,,,,,,,,,,,,,2,2,,,,,,,,,,,2,2,,,2,,,,2,,2,,,,,
5/28/2015,28,6,16,,,,,,,,,,1,1,,,2,,,,,,,,,,,2,2,,1,2,,1,,2,,2,,,,,
5/28/2015,28,2P,105,,,,2,,,,,1,,,,,,1,1,,4,6,9,7,,8,,3,3,1,2,4,,9,8,4,,4,4,8,6,10,
5/29/2015,29,1,90,1,,2,,,2,3,,3,2,2,3,9,5,,,,,,,,,,,10,10,,4,7,,7,,10,,10,,,,,
5/29/2015,29,2,94,1,,1,2,1,,1,1,1,2,7,8,3,5,,,,,,,,,,,10,10,,7,5,1,8,,10,,10,,,,,
5/29/2015,29,3,65,,,1,,,,3,,2,4,4,2,4,2,,,,,,,,,,,7,7,,5,5,,5,,7,,7,,,,,
5/29/2015,29,4,39,,,,,,,,,,1,3,2,1,3,,,,,,,,,,,5,5,,3,3,,3,,5,,5,,,,,
5/29/2015,29,5,8,,,,,,,,,,,,,2,1,,,,,,,,,,,1,1,,,1,,,,1,,1,,,,,
5/29/2015,29,2P,69,2,,,,,,,,1,,,,,,2,2,,4,2,8,6,2,8,,,,1,,3,,2,8,,,,4,2,2,8,2
5/30/2015,30,1,102,1,,4,,3,3,,,3,3,2,7,7,3,,,,,,,,,,,11,11,,7,3,,12,,11,,11,,,,,
5/30/2015,30,2,69,1,,1,2,2,,,2,,5,6,3,4,4,,,,,,,,,,,5,5,,6,3,2,8,,5,,5,,,,,
5/30/2015,30,3,68,,,2,1,3,2,2,,,3,4,2,4,3,,,,,,,,,,,5,5,,7,4,,11,,5,,5,,,,,
5/30/2015,30,4,21,,,,,,,,,,1,3,1,,1,,,,,,,,,,,2,2,,3,1,,3,,2,,2,,,,,
5/30/2015,30,5,9,,,,,,,,,,3,2,,,,,,,,,,,,,,,,,2,,,2,,,,,,,,,
5/30/2015,30,2P,56,,,2,,,,,,2,,,,,,1,1,,4,4,5,1,,6,,1,1,2,,3,,1,6,1,,2,4,,4,5,
5/31/2015,31,1,94,1,,4,,,1,2,1,3,6,8,4,7,5,,,,,,,,,,,7,7,,8,2,1,13,,7,,7,,,,,
5/31/2015,31,2,95,,,1,,1,,1,4,2,4,2,7,5,5,,,,,,,,,,,11,11,,4,7,4,4,,11,,11,,,,,
5/31/2015,31,3,43,1,,,,1,2,1,,2,2,,1,5,1,,,,,,,,,,,5,5,,1,2,,4,,5,,5,,,,,
5/31/2015,31,4,6,,,,,,,,,,,,1,1,,,,,,,,,,,,1,1,,,,,,,1,,1,,,,,
5/31/2015,31,5,25,,,,,,,,,,4,3,2,3,,,,,,,,,,,,2,2,,2,,,3,,2,,2,,,,,
5/31/2015,31,6,10,,,,,,,,,,2,1,1,,,,,,,,,,,,,1,1,,1,,,1,,1,,1,,,,,
5/31/2015,31,2P,80,,,,2,,,,,1,,,,,,1,1,2,4,2,3,3,2,6,,3,3,1,2,6,,5,6,4,2,5,4,4,2,4,2
6/1/2015,32,1,616,2,,6,14,5,9,12,11,8,22,24,20,30,31,,,2,4,2,4,4,4,4,,54,54,2,40,44,11,60,4,55,2,55,4,2,2,5,4
6/1/2015,32,1,220,2,,3,3,3,3,3,9,6,11,7,10,13,9,,,,,,,,,,,21,21,1,10,16,9,18,,21,,21,,,,,
6/1/2015,32,2,184,,,3,6,2,5,4,2,,4,9,8,10,8,,,,,,,,,,,17,17,,17,11,2,25,,17,,17,,,,,
