Date,1,2,3,4,5,6,2P,camping0,camping1,camping2,camping3,camping4,camping5,camping6,camping7,camping8,entrance0,entrance1,entrance2,entrance3,entrance4,gate0,gate1,gate2,gate3,gate4,gate5,gate6,gate7,gate8,general-gate0,general-gate1,general-gate2,general-gate3,general-gate4,general-gate5,general-gate6,general-gate7,ranger-base,ranger-stop0,ranger-stop1,ranger-stop2,ranger-stop3,ranger-stop4,ranger-stop5,ranger-stop6,ranger-stop7
6/9/2015,293,193,101,24,17,7,34,6,0,9,11,13,16,17,10,7,28,24,36,35,30,0,0,2,2,2,2,1,0,1,0,62,63,2,42,36,10,66,1,63,2,62,2,2,2,2,0
6/10/2015,347,258,112,37,2,16,118,4,3,13,18,15,14,19,8,15,30,34,36,40,37,0,0,4,6,2,6,7,6,9,1,79,78,2,64,48,8,86,9,80,4,81,6,2,2,8,6
6/11/2015,360,153,138,2,16,0,49,6,1,16,12,18,11,8,9,18,35,19,28,39,29,0,0,2,2,2,2,2,2,2,1,68,68,3,47,35,9,71,2,69,2,69,2,2,2,3,2
6/12/2015,395,233,123,7,11,17,91,9,1,18,18,16,14,17,7,21,42,27,31,45,39,0,0,2,4,2,4,4,4,6,1,77,77,4,62,48,7,85,6,79,2,79,4,4,2,5,4
6/13/2015,401,227,155,9,19,18,26,5,4,14,18,18,22,21,16,19,31,35,35,40,41,1,1,0,2,2,1,1,0,2,1,76,76,7,57,51,16,83,2,76,0,76,2,0,2,1,0
6/14/2015,415,237,146,6,14,19,53,6,2,12,17,16,17,17,20,22,33,25,40,39,32,0,0,0,4,2,6,4,2,6,2,81,81,5,61,53,20,83,6,81,0,81,4,0,2,6,2
6/15/2015,452,189,101,43,8,12,102,7,0,15,18,18,12,14,12,23,35,29,35,47,38,1,1,4,4,4,7,5,2,8,0,82,82,5,54,54,12,80,8,84,4,83,4,2,4,8,2
6/16/2015,434,215,145,25,49,6,95,5,2,16,12,16,19,17,14,18,27,30,47,60,34,0,0,2,6,2,7,7,4,8,1,90,90,6,55,53,14,88,8,92,2,91,6,6,2,8,4
6/17/2015,407,175,119,12,10,19,13,10,0,14,13,14,16,8,16,23,22,35,29,51,30,0,0,0,0,0,0,0,0,2,0,70,72,4,46,43,16,74,2,73,0,72,0,0,0,0,0
6/18/2015,310,211,137,27,19,15,19,5,0,17,13,15,15,11,14,15,33,34,43,45,26,0,0,0,2,2,2,0,0,2,0,64,64,3,50,36,14,77,2,64,0,64,2,0,2,2,0
6/19/2015,373,201,131,18,19,9,61,11,2,10,17,20,21,20,6,20,27,36,23,46,39,0,0,0,4,2,4,2,2,6,1,68,68,3,53,53,6,84,6,69,0,69,4,2,2,4,2
6/20/2015,459,287,168,10,7,24,97,16,0,17,17,19,20,18,11,24,42,30,45,46,46,0,0,2,4,6,8,6,4,5,0,93,93,8,74,57,11,108,5,94,2,94,4,4,6,9,4
6/21/2015,510,246,168,19,0,4,83,12,6,10,15,24,25,25,10,24,36,44,38,54,32,0,0,0,0,2,2,2,0,9,5,95,97,2,74,58,10,106,9,99,0,97,0,4,2,2,0
6/22/2015,369,264,138,39,15,0,44,10,2,13,14,20,27,11,17,22,33,33,31,54,37,0,0,0,0,4,4,4,0,4,1,72,72,6,59,42,17,102,4,72,0,72,0,2,4,4,0
6/23/2015,413,252,134,32,29,0,82,12,9,14,23,12,22,14,8,18,32,33,40,43,39,4,4,0,4,2,5,3,2,8,7,82,82,4,71,51,8,98,8,84,0,83,4,0,2,5,2
6/24/2015,420,277,212,14,10,6,24,17,2,18,8,17,23,19,14,20,39,40,42,55,41,0,0,2,0,2,2,2,2,2,2,86,86,4,71,48,14,103,2,86,2,86,0,0,2,2,2
6/25/2015,402,244,170,36,2,25,92,8,4,16,19,16,28,20,15,10,44,21,32,37,42,0,0,2,8,4,8,8,4,5,1,86,86,3,64,66,15,91,5,87,2,87,8,2,4,9,4
6/26/2015,395,249,136,26,16,0,51,14,0,9,7,17,29,21,14,18,34,35,42,29,35,0,0,2,2,2,2,2,2,3,0,75,75,5,73,50,14,94,3,76,2,76,2,2,2,3,2
6/27/2015,456,217,106,16,4,22,69,15,0,11,17,24,21,11,7,23,41,32,30,54,38,0,0,0,6,2,6,4,4,8,0,71,73,5,66,45,7,99,8,73,0,71,6,0,2,6,4
6/28/2015,330,231,184,26,8,12,104,5,10,16,16,15,30,16,8,20,30,29,31,42,39,0,0,2,6,4,4,2,2,8,8,74,74,8,65,49,8,91,8,76,2,76,6,4,4,5,2
6/29/2015,454,247,212,18,19,8,20,21,0,12,14,24,32,11,20,19,35,31,43,54,37,0,0,0,2,0,2,2,2,2,0,86,86,2,76,51,20,114,2,86,0,86,2,0,0,2,2
6/30/2015,389,269,112,12,6,0,68,22,0,9,16,16,16,18,10,19,32,30,34,42,40,0,0,2,4,4,4,2,2,4,0,73,73,6,60,47,10,90,4,74,2,74,4,2,4,5,2
7/1/2015,517,319,235,29,18,21,40,18,5,19,24,25,28,18,25,17,53,39,55,49,45,0,0,2,0,0,2,2,0,4,3,106,106,1,94,60,25,128,4,107,4,107,0,2,0,2,0
7/2/2015,511,355,107,13,16,12,43,15,2,17,11,18,24,14,15,32,43,37,42,50,50,0,0,2,2,0,4,4,2,4,0,97,97,5,75,61,15,108,4,97,4,97,2,0,0,5,2
7/3/2015,692,420,270,29,30,6,38,28,2,28,38,23,39,29,12,36,53,52,66,66,64,0,0,0,4,4,4,0,0,4,1,130,130,10,124,77,12,173,4,130,0,130,4,0,4,4,0
7/4/2015,683,461,266,23,25,0,98,18,0,37,25,40,44,16,20,33,56,51,59,61,64,0,0,4,4,4,4,4,4,4,0,139,139,7,130,80,20,177,4,141,4,141,4,4,4,6,4
7/5/2015,734,436,312,26,45,6,56,19,7,29,29,36,47,40,11,43,61,49,66,79,64,0,0,0,2,0,4,4,0,6,5,152,152,8,114,87,11,168,6,153,0,153,2,4,0,4,0
7/6/2015,460,387,234,19,29,0,25,12,1,18,26,28,33,20,20,12,42,35,51,58,50,1,1,2,0,0,1,1,0,2,0,109,109,2,83,66,20,126,2,110,2,109,0,0,0,2,0
7/7/2015,534,337,233,37,19,8,52,14,6,22,25,24,23,27,14,31,43,41,45,57,49,0,0,0,4,0,8,8,4,6,3,112,112,5,85,69,14,121,6,112,0,112,4,2,0,8,4
7/8/2015,527,356,288,21,8,2,53,15,6,27,18,17,37,24,22,29,37,44,60,54,57,0,0,0,4,4,6,2,2,6,4,114,114,6,84,68,22,121,6,114,0,114,4,0,4,7,2
7/9/2015,529,312,248,30,11,11,14,13,2,32,13,26,31,17,30,28,33,42,38,76,50,0,0,0,0,0,2,2,2,2,1,103,103,5,78,58,30,126,2,103,0,103,0,0,0,2,2
7/10/2015,620,505,185,33,23,22,23,13,4,24,26,34,41,27,21,28,59,52,64,73,63,1,1,2,0,0,2,2,2,2,3,125,125,7,97,79,21,143,2,125,14,125,0,0,0,2,2
7/11/2015,839,468,222,31,54,0,93,13,0,26,30,38,38,26,31,48,46,64,82,79,59,0,0,2,8,4,6,4,4,7,0,160,159,10,121,90,31,166,7,160,2,161,8,2,4,7,4
7/12/2015,698,356,340,23,4,11,28,12,2,33,20,22,37,34,32,24,54,46,69,58,55,0,0,0,0,0,1,1,0,3,1,139,140,4,119,79,32,156,3,140,0,140,0,2,0,2,0
7/13/2015,562,363,166,50,27,14,41,14,4,14,18,34,32,17,12,32,48,42,46,71,52,0,0,0,2,2,2,0,0,4,1,116,116,4,87,62,12,133,4,117,0,117,2,2,2,2,0
7/14/2015,457,234,219,77,44,16,20,14,4,10,17,21,22,23,16,22,41,43,52,59,44,0,0,0,4,0,4,4,2,2,3,100,100,3,70,59,16,100,2,100,0,100,4,0,0,4,2
7/15/2015,387,224,146,30,17,0,19,14,4,17,5,17,13,22,10,19,28,35,43,41,30,0,0,0,2,2,2,0,0,2,4,76,76,4,62,41,10,84,2,76,0,76,2,0,2,2,0
7/16/2015,510,271,184,26,18,0,32,4,2,19,22,17,27,9,14,36,38,36,42,60,42,0,0,2,0,0,4,4,0,4,2,97,97,7,74,52,14,110,4,97,2,97,0,2,0,4,0
7/17/2015,780,367,321,17,8,6,53,17,6,33,27,33,39,40,27,36,63,53,63,69,53,0,0,0,6,2,6,2,2,6,4,138,139,7,111,93,27,151,6,139,0,138,6,0,2,6,2
7/18/2015,625,387,232,35,15,0,37,21,0,27,14,28,42,24,22,28,53,42,45,63,60,0,0,0,2,4,2,0,0,4,0,119,120,7,108,77,22,146,4,120,0,119,2,0,4,2,0
7/19/2015,565,350,254,51,49,2,67,20,0,24,21,29,26,21,21,35,52,35,63,73,48,2,2,0,4,2,6,4,2,6,0,124,122,6,94,68,21,137,6,126,0,124,4,0,2,6,2
7/20/2015,543,282,227,24,29,5,48,16,5,25,18,27,25,10,14,31,40,47,47,58,53,0,0,0,4,0,3,3,4,4,4,104,105,7,82,63,18,117,4,105,0,104,4,0,0,3,4
7/21/2015,503,227,177,38,26,12,90,7,2,19,16,26,31,16,13,29,48,35,39,61,45,0,0,2,4,6,4,4,2,6,2,89,90,5,77,50,13,119,6,92,2,92,4,4,6,5,2
7/22/2015,516,221,173,22,22,7,77,21,2,15,14,24,33,14,17,26,43,43,42,47,44,2,2,2,4,2,4,4,2,4,1,82,82,8,79,51,17,120,4,83,2,83,4,2,2,5,2
7/23/2015,707,285,223,41,27,21,29,25,6,17,18,27,28,21,22,31,45,52,64,57,49,0,0,0,2,0,4,4,0,4,4,123,123,5,111,63,22,148,4,123,0,123,2,2,0,4,0
7/24/2015,758,349,277,34,20,28,61,16,7,23,29,34,41,34,23,30,73,46,61,82,57,0,0,0,4,2,4,2,2,6,1,130,130,10,116,90,23,169,6,131,0,131,4,2,2,4,2
7/25/2015,623,340,208,28,18,7,57,13,2,19,12,28,39,26,18,30,42,39,70,67,43,0,0,2,2,2,2,2,2,4,1,124,124,4,91,59,18,129,4,125,2,125,2,2,2,3,2
7/26/2015,619,391,307,27,21,7,109,11,4,17,29,42,27,22,29,38,47,50,59,59,55,1,1,4,4,4,8,8,4,8,2,135,135,9,109,78,29,145,8,136,4,136,4,2,4,10,4
7/27/2015,506,292,219,20,16,3,62,18,0,17,18,16,28,11,19,42,33,33,49,67,47,0,0,2,4,6,6,2,0,6,0,98,98,11,73,61,19,114,6,98,2,98,4,0,6,6,0
7/28/2015,523,237,199,19,5,8,20,7,6,17,17,19,29,20,14,22,38,39,49,45,47,0,0,0,2,0,2,2,2,2,5,94,94,3,76,49,14,101,2,94,0,94,2,0,0,2,2
7/29/2015,527,276,148,44,25,10,63,14,1,15,16,20,24,18,21,22,39,36,41,65,58,0,0,0,0,2,4,4,2,8,1,93,98,2,76,71,21,108,8,99,0,95,0,2,2,5,2
7/30/2015,553,312,233,30,30,26,19,13,2,31,23,19,28,14,18,30,65,43,43,61,56,0,0,0,2,2,2,0,0,2,2,106,107,6,94,64,18,132,2,106,0,106,2,0,2,2,0
7/31/2015,753,467,221,25,33,7,67,20,2,26,25,35,41,35,29,25,54,67,66,87,49,0,0,0,2,2,3,1,2,6,1,142,142,8,112,86,29,170,6,144,0,143,2,4,2,3,2
8/1/2015,572,346,190,32,28,11,38,15,0,26,15,31,31,25,11,31,42,44,44,67,57,0,0,0,4,4,4,0,0,4,0,112,111,10,84,70,11,124,4,112,0,112,4,0,4,4,0
8/2/2015,636,265,197,49,16,8,19,14,0,18,30,32,27,13,32,33,44,49,58,81,45,0,0,0,2,2,2,0,0,2,0,102,103,8,77,49,32,124,2,101,0,102,2,0,2,2,0
8/3/2015,524,260,172,34,45,9,20,15,2,18,18,25,22,11,20,21,39,44,49,50,48,0,0,0,2,0,2,2,2,2,2,97,97,5,80,58,20,110,2,98,0,97,2,0,0,2,2
8/4/2015,482,238,193,37,25,0,57,13,2,15,22,14,25,21,14,21,43,33,38,52,47,2,2,0,4,0,3,3,0,6,2,94,96,3,76,59,14,100,6,98,0,95,4,2,0,3,0
8/5/2015,365,207,185,39,4,7,22,3,0,9,4,11,24,20,11,20,30,33,35,51,41,0,0,0,0,0,0,0,0,2,0,83,83,2,54,52,11,78,2,84,0,84,0,2,0,0,0
8/6/2015,442,164,173,28,9,12,89,7,6,12,19,10,13,18,19,23,35,33,37,43,41,0,0,0,4,4,6,4,2,8,4,82,83,5,54,49,19,81,8,85,0,83,4,4,4,6,2
8/7/2015,553,381,215,40,35,10,27,12,2,13,26,26,21,20,28,34,57,41,44,80,52,1,1,2,2,0,1,1,0,2,1,122,123,2,76,71,28,117,2,124,2,124,2,0,0,1,0
8/8/2015,633,220,133,4,34,9,68,11,6,21,22,19,29,13,20,25,45,34,48,56,44,0,0,2,4,4,4,2,2,4,3,95,95,8,78,58,20,114,4,96,2,96,4,2,4,5,2
8/9/2015,658,201,229,47,30,6,58,14,3,20,19,27,33,28,17,23,48,40,56,55,42,0,0,0,4,0,6,6,2,6,2,112,112,1,95,61,17,136,6,112,0,112,4,2,0,6,2
8/10/2015,490,257,218,25,9,0,86,3,4,20,25,28,22,14,14,28,41,33,40,52,43,0,0,2,2,4,6,6,2,8,2,95,95,5,83,59,14,113,8,96,2,96,2,4,4,8,2
8/11/2015,478,243,177,29,25,24,136,6,2,9,20,21,19,22,18,26,42,36,51,60,44,0,0,4,6,6,6,6,4,8,1,95,99,5,70,61,18,107,8,101,4,99,6,4,6,8,4
8/12/2015,501,188,152,43,21,8,68,9,0,15,19,21,13,19,13,19,30,31,37,47,39,0,0,2,4,4,4,2,2,4,0,96,96,4,71,58,13,92,4,97,2,97,4,2,4,5,2
8/13/2015,346,153,128,19,15,0,49,8,2,8,12,22,13,14,7,15,22,25,28,43,34,0,0,2,2,2,2,2,2,2,1,62,62,7,45,44,7,74,2,63,2,63,2,2,2,3,2
8/14/2015,488,326,166,16,2,6,36,15,0,12,12,28,17,22,18,29,44,40,40,58,45,0,0,0,2,2,4,2,2,4,0,94,94,4,72,60,18,100,4,94,0,94,2,0,2,4,2
8/15/2015,536,197,219,34,13,2,39,10,2,29,10,19,21,22,9,28,40,37,47,66,45,0,0,0,4,2,4,2,2,4,2,95,95,8,66,56,9,100,4,95,0,95,4,0,2,4,2
8/16/2015,523,236,204,2,29,0,88,13,6,28,16,12,26,21,18,19,40,28,46,58,43,0,0,0,4,2,4,4,2,8,4,99,99,2,74,55,18,107,8,101,0,101,4,4,2,4,2
8/17/2015,391,171,158,36,31,0,93,8,4,12,19,21,9,5,11,16,31,30,43,55,33,1,1,2,6,4,5,3,2,6,3,79,81,7,55,40,11,87,6,82,2,80,6,2,4,6,2
8/18/2015,508,255,136,46,12,2,19,9,4,19,15,22,26,19,10,14,53,38,41,54,41,0,0,0,2,2,2,0,0,2,4,90,91,4,64,52,10,100,2,91,0,91,2,0,2,2,0
8/19/2015,522,168,143,61,12,4,33,7,0,12,14,23,23,13,21,18,34,41,38,56,36,0,0,0,2,2,4,2,0,4,0,84,83,5,67,52,21,101,4,83,0,83,2,2,2,4,0
8/20/2015,392,183,167,37,0,15,39,11,2,6,16,14,32,11,10,15,37,24,35,47,30,0,0,0,6,2,6,4,2,4,2,73,73,4,59,42,10,90,4,73,0,73,6,0,2,6,2
8/21/2015,461,262,171,38,20,29,79,3,0,13,18,23,23,23,13,30,38,38,47,58,46,1,1,4,0,0,4,4,0,8,0,98,98,6,64,63,13,100,8,100,6,100,0,4,0,5,0
8/22/2015,455,259,165,42,9,6,89,12,5,13,16,25,24,15,12,23,34,30,45,57,44,0,0,2,6,2,6,6,6,6,3,90,90,7,62,57,12,102,6,91,2,91,6,2,2,7,6
8/23/2015,486,291,208,34,33,0,14,15,2,20,30,24,20,15,15,14,35,46,50,60,48,0,0,0,0,0,2,2,0,2,2,98,98,2,83,50,15,118,2,98,0,98,0,0,0,2,0
8/24/2015,481,282,195,33,25,0,35,16,1,18,27,13,27,16,21,25,47,39,29,55,44,2,2,0,2,2,4,2,0,4,1,91,91,4,79,59,21,115,4,91,0,91,2,0,2,4,0
8/25/2015,474,289,107,22,13,0,87,8,2,14,23,28,26,14,11,19,34,35,40,43,42,0,0,4,2,2,4,4,2,6,1,85,87,4,75,54,11,111,6,88,4,90,2,2,2,5,2
8/26/2015,488,245,200,34,34,0,100,12,2,20,23,17,23,13,16,30,38,32,39,63,53,0,0,2,8,4,10,8,4,8,0,91,91,9,72,66,16,111,8,91,4,91,8,0,4,10,4
8/27/2015,419,332,106,17,9,6,41,9,1,14,21,24,22,17,13,23,35,36,47,40,34,0,0,0,2,2,2,0,0,4,0,84,84,4,74,41,13,102,4,85,0,85,2,2,2,2,0
8/28/2015,452,288,204,29,17,0,48,12,1,14,14,18,37,15,16,16,41,44,38,52,40,0,0,0,0,2,3,5,0,4,1,92,92,3,83,56,16,122,4,92,0,93,0,4,2,6,0
8/29/2015,398,304,156,33,9,10,33,5,4,16,22,18,23,18,20,28,28,36,49,50,36,1,1,2,0,0,3,3,0,2,1,85,85,5,64,43,20,98,2,85,2,85,0,0,0,3,0
8/30/2015,539,290,209,23,23,0,73,12,1,16,21,26,30,34,14,21,49,43,46,50,34,0,0,0,4,2,4,2,2,8,0,107,109,4,84,66,14,114,8,110,0,108,4,2,2,4,2
8/31/2015,447,229,116,52,25,8,81,12,3,15,16,12,19,14,13,18,36,45,47,53,32,0,0,2,6,2,4,4,4,6,1,84,84,4,65,48,13,99,6,85,2,85,6,2,2,5,4
9/1/2015,471,190,167,29,22,7,39,13,0,14,7,21,19,17,16,26,29,25,33,66,34,0,0,0,6,2,6,4,2,4,0,85,85,4,57,55,16,89,4,85,0,85,6,0,2,6,2
9/2/2015,326,136,101,29,19,3,85,4,0,11,17,15,9,6,9,17,28,39,26,32,21,0,0,4,4,2,6,6,4,6,0,59,59,2,53,31,9,71,6,60,4,60,4,2,2,7,4
9/3/2015,336,141,159,32,6,14,39,10,0,9,14,16,12,20,8,17,34,26,28,43,29,0,0,0,4,2,4,2,2,4,0,64,64,2,50,40,8,71,4,64,0,64,4,0,2,4,2
9/4/2015,418,250,154,31,16,21,78,6,0,14,21,16,16,17,21,13,37,33,44,50,40,1,1,4,2,2,4,4,2,4,0,90,88,6,58,56,21,91,4,91,4,92,2,4,2,5,2
9/5/2015,398,245,127,41,9,14,73,12,6,18,13,21,15,7,14,24,38,31,36,34,44,2,2,2,4,2,4,2,0,6,3,78,76,4,72,50,14,97,6,77,2,79,4,2,2,4,0
9/6/2015,350,155,122,39,15,11,84,9,0,11,8,11,13,14,12,20,24,22,38,41,31,0,0,2,6,4,4,2,2,6,0,71,73,6,46,47,12,66,6,74,2,74,6,2,4,5,2
9/7/2015,231,192,114,28,25,10,113,5,0,12,7,8,14,15,14,11,18,28,31,33,29,0,0,2,6,4,10,6,2,8,0,60,60,4,44,41,14,67,8,61,2,61,6,4,4,12,2
9/8/2015,257,189,110,25,15,6,19,9,4,8,8,8,24,8,10,10,34,24,27,29,31,0,0,0,2,2,2,0,0,2,2,52,51,5,47,35,10,65,2,52,0,52,2,0,2,2,0
9/9/2015,313,174,149,14,38,23,76,1,2,9,14,7,22,11,11,13,30,30,32,36,37,0,0,2,4,4,6,4,2,5,1,73,73,2,51,49,11,73,5,72,2,74,4,2,4,7,2
9/10/2015,309,177,90,24,13,2,33,5,2,14,13,13,24,13,5,9,30,20,21,42,27,0,0,0,2,2,2,0,0,5,2,55,56,1,46,35,5,76,5,57,0,55,2,0,2,2,0
9/11/2015,332,260,125,15,18,32,46,11,2,9,7,23,24,18,7,19,39,30,33,42,31,0,0,2,2,2,2,2,2,1,1,75,75,3,65,36,7,92,1,76,2,76,2,2,2,3,2
