date,Campsite,site_num,1,2,3,4,5,6,2P
5/4/2015,entrance1,9,5,3,2,2,,1,
5/4/2015,entrance2,10,2,3,1,2,2,2,
5/4/2015,entrance3,11,7,3,2,,1,,
5/4/2015,entrance4,12,1,2,2,3,1,,
5/4/2015,gate2,32,,,,,,,2
5/4/2015,gate3,13,,,,,,,8
5/4/2015,gate4,14,,,,,,,4
5/4/2015,gate5,15,,,,,,,8
5/4/2015,gate6,33,,,,,,,6
5/4/2015,gate7,34,,,,,,,6
5/4/2015,gate8,16,,,,,,,8
5/4/2015,general-gate0,38,2,,,,,,
5/4/2015,general-gate1,17,7,6,5,3,1,2,2
5/4/2015,general-gate2,18,7,6,5,3,1,2,2
5/4/2015,general-gate3,19,,,,,,,2
5/4/2015,general-gate4,20,6,4,5,2,,1,2
5/4/2015,general-gate5,21,2,2,3,2,,,8
5/4/2015,general-gate6,22,,,1,,,,
5/4/2015,general-gate7,23,9,5,6,2,,1,3
5/4/2015,ranger-base,24,,,,,,,8
5/4/2015,ranger-stop0,25,7,6,5,3,1,2,3
5/4/2015,ranger-stop1,35,,,,,,,2
5/4/2015,ranger-stop2,26,7,6,5,3,1,2,3
5/4/2015,ranger-stop3,27,,,,,,,8
5/4/2015,ranger-stop4,28,,,,,,,2
5/4/2015,ranger-stop5,29,,,,,,,4
5/4/2015,ranger-stop6,30,,,,,,,9
5/4/2015,ranger-stop7,36,,,,,,,6
5/5/2015,camping0,1,3,,,,,,
5/5/2015,camping2,2,2,1,1,,,,
5/5/2015,camping4,31,2,,,,,,
5/5/2015,camping5,4,1,1,1,,,,
5/5/2015,camping6,5,4,,,,,,
5/5/2015,camping7,6,,1,,,,,
5/5/2015,camping8,7,1,,,,,,2
5/5/2015,entrance0,8,3,8,1,1,,,
5/5/2015,entrance1,9,3,3,1,1,,,
5/5/2015,entrance2,10,5,3,1,,,,
5/5/2015,entrance3,11,4,7,3,3,,,
5/5/2015,entrance4,12,10,2,2,1,,,
5/5/2015,gate3,13,,,,2,,,4
5/5/2015,gate4,14,,,,,,,4
5/5/2015,gate5,15,,,,2,,,4
5/5/2015,gate6,33,,,,2,,,
5/5/2015,gate8,16,,,,,,,6
5/5/2015,general-gate1,17,8,4,3,1,,,
5/5/2015,general-gate2,18,8,4,3,1,,,2
5/5/2015,general-gate3,19,,,,,,,2
5/5/2015,general-gate4,20,8,3,2,,,,
5/5/2015,general-gate5,21,7,2,2,3,,,4
5/5/2015,general-gate6,22,,1,,,,,
5/5/2015,general-gate7,23,11,5,3,1,,,
5/5/2015,ranger-base,24,,,,,,,6
5/5/2015,ranger-stop0,25,8,4,3,1,,,2
5/5/2015,ranger-stop2,26,8,4,3,1,,,
5/5/2015,ranger-stop3,27,,,,2,,,4
5/5/2015,ranger-stop5,29,,,,,,,4
5/5/2015,ranger-stop6,30,,,,2,,,4
5/6/2015,camping0,1,1,,1,,,,
5/6/2015,camping1,37,,,2,,,,
5/6/2015,camping2,2,,1,,,,,
5/6/2015,camping3,3,4,2,,,,,
5/6/2015,camping5,4,6,,,,,,
5/6/2015,camping6,5,2,2,2,,,,
5/6/2015,camping7,6,1,1,,,,,
5/6/2015,camping8,7,2,1,,,,,1
5/6/2015,entrance0,8,2,8,3,1,,1,
5/6/2015,entrance1,9,8,5,2,3,1,,
5/6/2015,entrance2,10,9,4,1,1,1,,
5/6/2015,entrance3,11,7,4,3,3,1,1,
5/6/2015,entrance4,12,4,4,2,,1,,
5/6/2015,gate2,32,,,,,,,2
5/6/2015,gate3,13,,,,,,,2
5/6/2015,gate4,14,,,,,,,2
5/6/2015,gate5,15,,,,,,,4
5/6/2015,gate6,33,,,,,,,2
5/6/2015,gate7,34,,,,,,,2
5/6/2015,gate8,16,,,,,,,4
5/6/2015,general-gate0,38,,,2,,,,
5/6/2015,general-gate1,17,14,8,3,1,2,,
5/6/2015,general-gate2,18,14,8,3,1,2,,
5/6/2015,general-gate3,19,,1,,,,,1
5/6/2015,general-gate4,20,7,8,2,1,1,,
5/6/2015,general-gate5,21,5,6,1,,1,,1
5/6/2015,general-gate6,22,1,1,,,,,
5/6/2015,general-gate7,23,11,8,3,3,1,,3
5/6/2015,ranger-base,24,,,,,,,4
5/6/2015,ranger-stop0,25,14,8,3,1,2,,
5/6/2015,ranger-stop1,35,,,,,,,2
5/6/2015,ranger-stop2,26,14,8,3,1,2,,
5/6/2015,ranger-stop3,27,,,,,,,2
5/6/2015,ranger-stop4,28,,,,,,,2
5/6/2015,ranger-stop5,29,,,,,,,2
5/6/2015,ranger-stop6,30,,,,,,,4
5/6/2015,ranger-stop7,36,,,,,,,2
5/7/2015,camping2,2,2,1,,,,,
5/7/2015,camping3,3,1,4,,,,,
5/7/2015,camping4,31,,1,2,,,,
5/7/2015,camping5,4,2,,1,,,,
5/7/2015,camping6,5,2,,1,,,,
5/7/2015,camping7,6,1,,,,,,
5/7/2015,camping8,7,2,,1,,,,
5/7/2015,entrance0,8,6,3,2,5,,1,
5/7/2015,entrance1,9,4,4,,2,,1,
5/7/2015,entrance2,10,7,4,2,2,,1,
5/7/2015,entrance3,11,1,5,2,4,,1,
5/7/2015,entrance4,12,6,2,1,1,,,
5/7/2015,gate2,32,,,,,,,2
5/7/2015,gate3,13,,,,,,,2
5/7/2015,gate5,15,,,,,,,1
5/7/2015,gate6,33,,,,,,,1
5/7/2015,gate8,16,,,,,,,2
5/7/2015,general-gate1,17,6,6,1,3,,1,1
5/7/2015,general-gate2,18,6,6,1,3,,1,1
5/7/2015,general-gate4,20,5,5,1,2,,1,1
5/7/2015,general-gate5,21,3,2,1,1,,,1
5/7/2015,general-gate6,22,1,,,,,,
5/7/2015,general-gate7,23,6,10,3,2,,1,3
5/7/2015,ranger-base,24,,,,,,,2
5/7/2015,ranger-stop0,25,6,6,1,3,,1,1
5/7/2015,ranger-stop1,35,,,,,,,2
5/7/2015,ranger-stop2,26,6,6,1,3,,1,2
5/7/2015,ranger-stop3,27,,,,,,,2
5/7/2015,ranger-stop4,28,,,,,,,2
5/7/2015,ranger-stop6,30,,,,,,,1
5/8/2015,camping0,1,2,,,,,,
5/8/2015,camping1,37,4,,,,,,
5/8/2015,camping2,2,3,2,,,,,
5/8/2015,camping3,3,2,1,,,,,
5/8/2015,camping4,31,2,,,,,,
5/8/2015,camping5,4,2,3,,,,,
5/8/2015,camping6,5,1,2,,,,,
5/8/2015,camping7,6,,,,,,,2
5/8/2015,camping8,7,,1,,,,,1
5/8/2015,entrance0,8,5,6,4,,1,,
5/8/2015,entrance1,9,9,5,4,,,,
5/8/2015,entrance2,10,6,7,2,2,1,,
5/8/2015,entrance3,11,6,6,4,,,,
5/8/2015,entrance4,12,5,7,4,2,,,
5/8/2015,gate2,32,,,,,,,2
5/8/2015,gate3,13,,,,,,,6
5/8/2015,gate4,14,,,,,,,2
5/8/2015,gate5,15,,,,,,,6
5/8/2015,gate6,33,,,,,,,4
5/8/2015,gate7,34,,,,,,,2
5/8/2015,gate8,16,,,,,,,8
5/8/2015,general-gate0,38,4,,,,,,
5/8/2015,general-gate1,17,13,9,6,,1,,
5/8/2015,general-gate2,18,13,9,6,,1,,
5/8/2015,general-gate3,19,,1,,,,,1
5/8/2015,general-gate4,20,12,6,3,,,,
5/8/2015,general-gate5,21,5,6,4,,,,5
5/8/2015,general-gate6,22,,,,,,,2
5/8/2015,general-gate7,23,17,9,4,,,,3
5/8/2015,ranger-base,24,,,,,,,8
5/8/2015,ranger-stop0,25,13,9,6,,1,,
5/8/2015,ranger-stop1,35,,,,,,,2
5/8/2015,ranger-stop2,26,13,9,6,,1,,
5/8/2015,ranger-stop3,27,,,,,,,6
5/8/2015,ranger-stop4,28,,,,,,,2
5/8/2015,ranger-stop5,29,,,,,,,2
5/8/2015,ranger-stop6,30,,,,,,,6
5/8/2015,ranger-stop7,36,,,,,,,2
5/9/2015,camping0,1,,4,,,,,
5/9/2015,camping2,2,1,1,,,,,
5/9/2015,camping3,3,2,,,,,,
5/9/2015,camping4,31,4,,,,,,
5/9/2015,camping5,4,6,,,,,,
5/9/2015,camping6,5,4,1,,,,,
5/9/2015,camping7,6,1,2,,,,,2
5/9/2015,camping8,7,,2,1,,,,
5/9/2015,entrance0,8,5,6,,2,3,,
5/9/2015,entrance1,9,5,6,2,1,2,,
5/9/2015,entrance2,10,2,4,1,2,,,
5/9/2015,entrance3,11,8,5,,,1,,
5/9/2015,entrance4,12,5,3,2,1,2,,
5/9/2015,gate2,32,,,,,,,2
5/9/2015,gate5,15,,,,,,,2
5/9/2015,gate6,33,,,,,,,2
5/9/2015,gate8,16,,,,,,,6
5/9/2015,general-gate1,17,11,8,2,3,2,,2
5/9/2015,general-gate2,18,11,8,2,3,2,,2
5/9/2015,general-gate4,20,10,7,2,1,2,,2
5/9/2015,general-gate5,21,9,2,2,1,2,,2
5/9/2015,general-gate6,22,1,2,,,,,2
5/9/2015,general-gate7,23,16,11,2,1,2,,4
5/9/2015,ranger-base,24,,,,,,,6
5/9/2015,ranger-stop0,25,11,8,2,3,2,,3
5/9/2015,ranger-stop1,35,,,,,,,2
5/9/2015,ranger-stop2,26,11,8,2,3,2,,3
5/9/2015,ranger-stop4,28,,,,,,,2
5/9/2015,ranger-stop6,30,,,,,,,2
5/10/2015,camping0,1,1,,,,,,
5/10/2015,camping2,2,1,1,,,,,
5/10/2015,camping3,3,6,3,,,,,
5/10/2015,camping4,31,1,1,,,,,
5/10/2015,camping5,4,,2,1,,,,
5/10/2015,camping6,5,6,,1,,,,
5/10/2015,camping7,6,2,1,,,,,
5/10/2015,camping8,7,1,,,,,,2
5/10/2015,entrance0,8,6,9,,1,2,,
5/10/2015,entrance1,9,1,1,1,2,2,,
5/10/2015,entrance2,10,8,6,1,1,2,1,
5/10/2015,entrance3,11,7,6,,1,,,
5/10/2015,entrance4,12,6,4,,1,2,1,
5/10/2015,gate2,32,,,,,,,4
5/10/2015,gate3,13,,,,,,,6
5/10/2015,gate4,14,,,,,,,4
5/10/2015,gate5,15,,,,,,,8
5/10/2015,gate6,33,,,,,,,8
5/10/2015,gate7,34,,,,,,,6
5/10/2015,gate8,16,,,,,,,8
5/10/2015,general-gate1,17,13,7,2,,4,,4
5/10/2015,general-gate2,18,13,7,2,,4,,4
5/10/2015,general-gate3,19,1,,,,,,2
5/10/2015,general-gate4,20,6,6,2,1,2,,4
5/10/2015,general-gate5,21,8,2,1,,2,,8
5/10/2015,general-gate6,22,2,1,,,,,
5/10/2015,general-gate7,23,10,8,2,2,2,,8
5/10/2015,ranger-base,24,,,,,,,8
5/10/2015,ranger-stop0,25,13,7,2,,4,,6
5/10/2015,ranger-stop1,35,,,,,,,4
5/10/2015,ranger-stop2,26,13,7,2,,4,,6
5/10/2015,ranger-stop3,27,,,,,,,6
5/10/2015,ranger-stop4,28,,,,,,,6
5/10/2015,ranger-stop5,29,,,,,,,4
5/10/2015,ranger-stop6,30,,,,,,,10
5/10/2015,ranger-stop7,36,,,,,,,6
5/11/2015,camping0,1,1,2,1,,,,
5/11/2015,camping2,2,1,2,,,,,
5/11/2015,camping3,3,1,2,2,,,,
5/11/2015,camping4,31,3,,,,,,
5/11/2015,camping5,4,2,,1,,,,
5/11/2015,camping7,6,,1,,,,,
5/11/2015,camping8,7,4,2,2,,,,1
5/11/2015,entrance0,8,8,3,6,3,1,,
5/11/2015,entrance1,9,7,1,4,2,1,,
5/11/2015,entrance2,10,2,5,,2,,1,
5/11/2015,entrance3,11,8,3,3,1,,,
5/11/2015,entrance4,12,7,3,3,,,1,
5/11/2015,gate3,13,,,,,,,6
5/11/2015,gate4,14,,,,,,,2
5/11/2015,gate5,15,,,,,,,6
5/11/2015,gate6,33,,,,,,,4
5/11/2015,gate7,34,,,,,,,4
5/11/2015,gate8,16,,,,,,,8
5/11/2015,general-gate1,17,13,7,3,2,,,2
5/11/2015,general-gate2,18,13,7,3,2,,,2
5/11/2015,general-gate3,19,,1,,,,,1
5/11/2015,general-gate4,20,7,5,6,2,1,,2
5/11/2015,general-gate5,21,7,3,3,,,,7
5/11/2015,general-gate6,22,,1,,,,,
5/11/2015,general-gate7,23,10,7,8,2,1,,2
5/11/2015,ranger-base,24,,,,,,,8
5/11/2015,ranger-stop0,25,13,7,3,2,,,3
5/11/2015,ranger-stop2,26,13,7,3,2,,,3
5/11/2015,ranger-stop3,27,,,,,,,6
5/11/2015,ranger-stop4,28,,,,,,,2
5/11/2015,ranger-stop5,29,,,,,,,2
5/11/2015,ranger-stop6,30,,,,,,,6
5/11/2015,ranger-stop7,36,,,,,,,4
5/12/2015,camping0,1,1,1,1,,,,
5/12/2015,camping2,2,1,1,,,,,
5/12/2015,camping3,3,1,1,,,,,
5/12/2015,camping4,31,,,1,,,,
5/12/2015,camping5,4,1,3,1,,,,
5/12/2015,camping6,5,3,,2,,,,
5/12/2015,camping7,6,4,3,,,,,
5/12/2015,camping8,7,,2,1,,,,2
5/12/2015,entrance0,8,4,2,2,,1,1,
5/12/2015,entrance1,9,2,5,1,1,,1,
5/12/2015,entrance2,10,5,6,4,4,,1,
5/12/2015,entrance3,11,5,4,5,2,2,1,
5/12/2015,entrance4,12,5,3,6,1,1,2,
5/12/2015,gate2,32,,,,,,,4
5/12/2015,gate3,13,,,,,,,4
5/12/2015,gate4,14,,,,,,,6
5/12/2015,gate5,15,,,,,,,6
5/12/2015,gate6,33,,,,,,,4
5/12/2015,gate7,34,,,,,,,4
5/12/2015,gate8,16,,,,,,,8
5/12/2015,general-gate1,17,9,8,9,3,1,3,4
5/12/2015,general-gate2,18,9,8,9,3,1,3,6
5/12/2015,general-gate3,19,,1,,,,,2
5/12/2015,general-gate4,20,6,4,4,1,,1,4
5/12/2015,general-gate5,21,5,2,5,,1,2,8
5/12/2015,general-gate6,22,4,3,,,,,
5/12/2015,general-gate7,23,6,8,4,1,,1,6
5/12/2015,ranger-base,24,,,,,,,8
5/12/2015,ranger-stop0,25,9,8,9,3,1,3,8
5/12/2015,ranger-stop1,35,,,,,,,4
5/12/2015,ranger-stop2,26,9,8,9,3,1,3,6
5/12/2015,ranger-stop3,27,,,,,,,4
5/12/2015,ranger-stop4,28,,,,,,,4
5/12/2015,ranger-stop5,29,,,,,,,6
5/12/2015,ranger-stop6,30,,,,,,,8
5/12/2015,ranger-stop7,36,,,,,,,4
5/13/2015,camping0,1,,2,,,,,
5/13/2015,camping2,2,2,,,,,,
5/13/2015,camping4,31,,1,1,,,,
5/13/2015,camping5,4,2,1,2,,,,
5/13/2015,camping6,5,1,7,,,,,
5/13/2015,camping7,6,1,2,,,,,
5/13/2015,camping8,7,2,2,,,,,3
5/13/2015,entrance0,8,4,7,3,4,,,
5/13/2015,entrance1,9,4,5,1,1,1,,
5/13/2015,entrance2,10,7,6,1,4,2,1,
5/13/2015,entrance3,11,5,10,4,2,,,
5/13/2015,entrance4,12,4,4,2,1,1,1,
5/13/2015,gate2,32,,,,,,,2
5/13/2015,gate3,13,,,,,,,2
5/13/2015,gate4,14,,,,,,,4
5/13/2015,gate5,15,,,,,,,4
5/13/2015,gate6,33,,,,,,,2
5/13/2015,gate8,16,,,,,,,6
5/13/2015,general-gate1,17,11,13,3,5,1,,
5/13/2015,general-gate2,18,11,13,3,5,1,,4
5/13/2015,general-gate3,19,1,1,,,,,2
5/13/2015,general-gate4,20,7,3,2,1,1,,
5/13/2015,general-gate5,21,5,11,2,1,,,4
5/13/2015,general-gate6,22,1,2,,,,,
5/13/2015,general-gate7,23,8,8,4,1,1,,2
5/13/2015,ranger-base,24,,,,,,,6
5/13/2015,ranger-stop0,25,11,13,3,5,1,,4
5/13/2015,ranger-stop1,35,,,,,,,2
5/13/2015,ranger-stop2,26,11,13,3,5,1,,2
5/13/2015,ranger-stop3,27,,,,,,,2
5/13/2015,ranger-stop5,29,,,,,,,4
5/13/2015,ranger-stop6,30,,,,,,,4
5/14/2015,camping0,1,1,,,,,,
5/14/2015,camping2,2,1,1,1,,,,
5/14/2015,camping3,3,1,1,,,,,
5/14/2015,camping4,31,1,,,,,,2
5/14/2015,camping5,4,4,1,,,,,
5/14/2015,camping6,5,1,,,,,,
5/14/2015,camping7,6,1,2,,,,,
5/14/2015,camping8,7,1,2,1,,,,
5/14/2015,entrance0,8,2,4,1,1,2,,
5/14/2015,entrance1,9,7,3,5,1,2,,
5/14/2015,entrance2,10,10,2,2,1,3,,
5/14/2015,entrance3,11,6,3,5,,3,1,
5/14/2015,entrance4,12,5,2,5,4,3,1,
5/14/2015,gate0,39,,,,,,,1
5/14/2015,gate1,40,,,,,,,1
5/14/2015,gate3,13,,,,,,,2
5/14/2015,gate4,14,,,,,,,2
5/14/2015,gate5,15,,,,,,,5
5/14/2015,gate6,33,,,,,,,1
5/14/2015,gate8,16,,,,,,,6
5/14/2015,general-gate1,17,12,6,6,2,5,1,3
5/14/2015,general-gate2,18,12,6,6,2,5,1,3
5/14/2015,general-gate3,19,1,,,,,,
5/14/2015,general-gate4,20,12,5,2,1,2,,2
5/14/2015,general-gate5,21,5,2,4,3,2,1,3
5/14/2015,general-gate6,22,1,2,,,,,
5/14/2015,general-gate7,23,15,6,4,1,2,,3
5/14/2015,ranger-base,24,,,,,,,6
5/14/2015,ranger-stop0,25,12,6,6,2,5,1,4
5/14/2015,ranger-stop2,26,12,6,6,2,5,1,4
5/14/2015,ranger-stop3,27,,,,,,,2
5/14/2015,ranger-stop4,28,,,,,,,2
5/14/2015,ranger-stop5,29,,,,,,,2
5/14/2015,ranger-stop6,30,,,,,,,5
5/15/2015,camping2,2,2,1,2,,,,
5/15/2015,camping3,3,1,2,,,,,
5/15/2015,camping4,31,3,,2,,,,
5/15/2015,camping5,4,,3,2,,,,
5/15/2015,camping6,5,1,,,,,,
5/15/2015,camping7,6,1,1,2,,,,2
5/15/2015,camping8,7,1,1,,,,,2
5/15/2015,entrance0,8,5,5,4,,1,,
5/15/2015,entrance1,9,4,6,6,3,1,,
5/15/2015,entrance2,10,6,6,,,1,,
5/15/2015,entrance3,11,8,4,3,2,2,,
5/15/2015,entrance4,12,3,8,1,2,2,,
5/15/2015,gate2,32,,,,,,,6
5/15/2015,gate3,13,,,,,,,6
5/15/2015,gate4,14,,,,,,,4
5/15/2015,gate5,15,,,,,,,8
5/15/2015,gate6,33,,,,,,,8
5/15/2015,gate7,34,,,,,,,6
5/15/2015,gate8,16,,,,,,,7
5/15/2015,general-gate1,17,8,13,3,3,2,,4
5/15/2015,general-gate2,18,8,13,3,3,2,,3
5/15/2015,general-gate3,19,,,,,,,2
5/15/2015,general-gate4,20,5,10,4,2,,,4
5/15/2015,general-gate5,21,3,7,3,2,2,,7
5/15/2015,general-gate6,22,1,1,2,,,,2
5/15/2015,general-gate7,23,10,13,8,3,1,,8
5/15/2015,ranger-base,24,,,,,,,7
5/15/2015,ranger-stop0,25,8,13,3,3,2,,5
5/15/2015,ranger-stop1,35,,,,,,,6
5/15/2015,ranger-stop2,26,8,13,3,3,2,,6
5/15/2015,ranger-stop3,27,,,,,,,6
5/15/2015,ranger-stop4,28,,,,,,,4
5/15/2015,ranger-stop5,29,,,,,,,4
5/15/2015,ranger-stop6,30,,,,,,,10
5/15/2015,ranger-stop7,36,,,,,,,6
5/16/2015,camping0,1,4,1,,,,,
5/16/2015,camping1,37,,,,,,,2
5/16/2015,camping2,2,2,2,,,,,2
5/16/2015,camping3,3,1,1,2,,,,
5/16/2015,camping4,31,,3,,,,,
5/16/2015,camping5,4,2,2,,,,,
5/16/2015,camping6,5,,1,2,,,,
5/16/2015,camping7,6,6,1,2,,,,
5/16/2015,camping8,7,5,2,,,,,
5/16/2015,entrance0,8,6,4,1,1,,,
5/16/2015,entrance1,9,4,8,3,1,,3,
5/16/2015,entrance2,10,5,9,2,2,,1,
5/16/2015,entrance3,11,7,6,5,,,2,
5/16/2015,entrance4,12,6,6,1,,,,
5/16/2015,gate3,13,,,,,,,2
5/16/2015,gate5,15,,,,,,,1
5/16/2015,gate6,33,,,,,,,1
5/16/2015,gate8,16,,,,,,,5
5/16/2015,general-gate0,38,,,,,,,1
5/16/2015,general-gate1,17,10,12,5,2,,1,3
5/16/2015,general-gate2,18,10,12,5,2,,1,4
5/16/2015,general-gate3,19,1,,,,,,
5/16/2015,general-gate4,20,6,6,2,1,,1,3
5/16/2015,general-gate5,21,6,6,3,,,,6
5/16/2015,general-gate6,22,6,1,2,,,,
5/16/2015,general-gate7,23,11,10,5,1,,3,4
5/16/2015,ranger-base,24,,,,,,,5
5/16/2015,ranger-stop0,25,10,12,5,2,,1,5
5/16/2015,ranger-stop2,26,10,12,5,2,,1,4
5/16/2015,ranger-stop3,27,,,,,,,2
5/16/2015,ranger-stop4,28,,,,,,,2
5/16/2015,ranger-stop6,30,,,,,,,1
5/17/2015,camping0,1,2,,,,,,
5/17/2015,camping2,2,,,1,,,,2
5/17/2015,camping3,3,,2,2,,,,2
5/17/2015,camping4,31,2,3,,,,,
5/17/2015,camping5,4,2,1,1,,,,
5/17/2015,camping6,5,1,,,,,,
5/17/2015,camping7,6,,2,,,,,
5/17/2015,camping8,7,4,1,1,,,,
5/17/2015,entrance0,8,4,4,1,2,1,,
5/17/2015,entrance1,9,2,5,3,4,1,,
5/17/2015,entrance2,10,8,5,3,2,1,,
5/17/2015,entrance3,11,4,6,2,,,,
5/17/2015,entrance4,12,5,5,,,1,,
5/17/2015,gate0,39,,,,,,,1
5/17/2015,gate1,40,,,,,,,1
5/17/2015,gate5,15,,,,,,,1
5/17/2015,gate6,33,,,,,,,1
5/17/2015,gate7,34,,,,,,,2
5/17/2015,gate8,16,,,,,,,6
5/17/2015,general-gate1,17,12,11,4,2,2,,5
5/17/2015,general-gate2,18,12,11,4,2,2,,5
5/17/2015,general-gate3,19,1,,,,,,
5/17/2015,general-gate4,20,6,10,3,4,1,,4
5/17/2015,general-gate5,21,3,7,,,1,,5
5/17/2015,general-gate6,22,,2,,,,,
5/17/2015,general-gate7,23,8,11,5,4,1,,5
5/17/2015,ranger-base,24,,,,,,,6
5/17/2015,ranger-stop0,25,12,11,4,2,2,,7
5/17/2015,ranger-stop2,26,12,11,4,2,2,,8
5/17/2015,ranger-stop4,28,,,,,,,4
5/17/2015,ranger-stop6,30,,,,,,,1
5/17/2015,ranger-stop7,36,,,,,,,2
5/18/2015,camping2,2,2,2,1,,,,
5/18/2015,camping3,3,1,3,,,,,
5/18/2015,camping4,31,3,,2,,,,
5/18/2015,camping5,4,3,1,3,,,,
5/18/2015,camping6,5,4,,2,,,,
5/18/2015,camping7,6,2,,,,,,
